始発停留所	金沢工業大学（正門前）	金沢工業大学（正門前）	円光寺（始発）	窪（市内方向）	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）			
始発時間	06:30	07:05	07:40	08:05	08:30	09:30	10:10	11:17	12:27	13:32	14:32	14:52	15:22	15:55	16:22	16:25	17:10	17:42	18:30	18:35	19:30	20:30			
終点時間	07:03	07:38	08:11	08:40	09:11	10:11	10:51	11:48	12:59	14:03	15:03	15:24	15:54	16:27	16:53	17:08	17:41	18:17	19:06	19:09	20:02	21:02			
終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】			
備考	ノンステップバス	ノンステップバス		ノンステップバス	ノンステップバス		ノンステップバス		ノンステップバス		ノンステップバス		ノンステップバス				ノンステップバス			ノンステップバス					
金沢工業大学（正門前）	06:30	07:05			08:30	09:30	10:10	11:17	12:27	13:32	14:32	14:52	15:22	15:55	16:22	16:25	17:10	17:42	18:30	18:35	19:30	20:30			
三馬日赤病院前-B	06:32	07:07			08:32	09:32	10:12	-	12:29	-	-	14:54	15:24	15:57	-	16:27	-	17:44	18:32	-	19:32	20:32			
錦丘高校前（窪方向）	06:34	07:09			08:33	09:33	10:13	-	-	-	-	-	-	-	-	16:29	-	-	18:34	-	-	-			
錦丘高校前（四十万から）	-	-			-	-	-	-	12:31	-	-	14:56	15:26	15:59	-	-	-	17:46	-	-	19:34	20:34			
窪（市内方向）	06:36	07:11		08:05	08:35	09:35	10:15	-	-	-	-	-	-	-	-	16:31	-	-	18:36	-	-	-			
円光寺（始発）	-	-	07:40	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
円光寺（市内方向）	06:37	07:12	-	08:07	08:37	09:37	10:17	-	-	-	-	-	-	-	-	16:33	-	-	18:38	-	-	-			
泉丘高校前-B	06:39	07:14	07:42	08:09	08:39	09:39	10:19	-	-	-	-	-	-	-	-	16:35	-	-	18:40	-	-	-			
泉が丘（有松方向）	06:41	07:16	07:44	08:11	08:41	09:41	10:21	-	-	-	-	-	-	-	-	16:37	-	-	18:42	-	-	-			
西三馬（市内方向）	-	-	-	-	-	-	-	11:18	-	13:33	14:33	-	-	-	16:23	-	17:11	-	-	18:36	-	-			
久安二丁目-B	-	-	-	-	-	-	-	11:19	-	13:34	14:34	-	-	-	16:24	-	17:12	-	-	18:37	-	-			
久安大橋-B	-	-	-	-	-	-	-	11:20	-	13:35	14:35	-	-	-	16:25	-	17:13	-	-	18:38	-	-			
有松四丁目-B	-	-	-	-	-	-	-	11:21	-	13:36	14:36	-	-	-	16:26	-	17:14	-	-	18:39	-	-			
伏見台（市内方向）	-	-	-	-	-	-	-	-	12:32	-	-	14:57	15:27	16:00	-	-	-	17:47	-	-	19:35	20:35			
寺地-B	-	-	-	-	-	-	-	-	12:33	-	-	14:58	15:28	16:01	-	-	-	17:48	-	-	19:36	20:36			
上有松-B	-	-	-	-	-	-	-	11:22	12:34	13:37	14:37	14:59	15:29	16:02	16:27	-	17:15	17:49	-	18:40	19:37	20:37			
有松（寺地から）	-	-	-	-	-	-	-	11:23	12:35	13:38	14:38	15:00	15:30	16:03	16:28	-	17:16	17:50	-	18:41	19:38	20:38			
有松（泉が丘から）	06:42	07:17	07:45	08:12	08:42	09:42	10:22	-	-	-	-	-	-	-	-	16:38	-	-	18:43	-	-	-			
泉二丁目-B	06:43	07:18	-	08:14	08:44	09:44	10:24	11:25	12:37	13:40	14:40	15:02	15:32	16:05	16:30	16:40	17:18	17:52	18:45	18:43	19:40	20:40			
泉一丁目-B	06:44	07:19	07:48	08:15	08:45	09:45	10:25	11:26	12:38	13:41	14:41	15:03	15:33	16:06	16:31	16:41	17:19	17:53	18:46	18:44	19:41	20:41			
野町-B	06:45	07:20	-	08:16	08:46	09:46	10:26	11:27	12:39	13:42	14:42	15:04	15:34	16:07	16:32	16:42	17:20	17:54	18:47	18:45	19:42	20:42			
広小路（有松から）	06:46	07:21	07:50	08:18	08:48	09:48	10:28	11:29	12:41	13:44	14:44	15:06	15:36	16:09	16:34	16:44	17:22	17:56	18:49	18:47	19:44	20:44			
片町（ラブロ前）	06:48	07:23	07:52	08:22	08:52	09:52	10:32	11:33	12:45	13:48	14:48	15:10	15:40	16:13	16:38	16:48	17:26	18:00	18:53	18:51	19:48	20:48			
香林坊（日銀前）	06:49	07:24	07:53	08:23	08:53	09:53	10:33	11:34	12:46	13:49	14:49	15:11	15:41	16:14	16:39	16:49	17:27	18:01	18:54	18:52	19:49	20:49			
南町-B	06:50	07:25	07:55	08:25	08:55	09:55	10:35	11:36	12:48	13:51	14:51	15:13	15:43	16:16	16:41	16:51	17:29	18:03	18:56	18:54	19:51	20:51			
武蔵ヶ辻（エムザ前）	06:52	07:27	07:57	08:27	08:57	09:57	10:37	11:38	12:50	13:53	14:53	15:15	15:45	16:18	16:43	16:53	17:31	18:05	18:58	18:56	19:53	20:53			
リファーレ前-B	06:54	07:29	-	08:29	08:59	09:59	10:39	11:40	12:52	13:55	14:55	15:17	15:47	16:20	16:45	16:55	17:33	18:07	19:00	18:58	19:55	20:55			
金沢駅【降車場】	07:03	07:38	08:11	08:40	09:11	10:11	10:51	11:48	12:59	14:03	15:03	15:24	15:54	16:27	16:53	17:08	17:41	18:17	19:06	19:09	20:02	21:02			
