始発停留所	高浜-B	高浜-B	高浜-B		
始発時間	07:00	14:25	19:10		
終点時間	07:28	14:53	19:38		
終点停留所	高浜-E	高浜-E	高浜-E		
備考					
高浜-B	07:00	14:25	19:10		
大念寺-B	07:01	14:26	19:11		
高浜小学校前-A	07:02	14:27	19:12		
福野	07:03	14:28	19:13		
大島入口	07:04	14:29	19:14		
宿女	07:05	14:30	19:15		
志賀やすらぎ荘前-A	07:06	14:31	19:16		
福井口	07:07	14:32	19:17		
雨谷	07:08	14:33	19:18		
矢駄中野-A	07:10	14:35	19:20		
矢駄宮の前	07:11	14:36	19:21		
矢駄小林	07:12	14:37	19:22		
矢駄上野	07:13	14:38	19:23		
倉垣-A	07:14	14:39	19:24		
倉垣口	07:15	14:40	19:25		
安津見-A	07:16	14:41	19:26		
親谷	07:18	14:43	19:28		
出雲	07:19	14:44	19:29		
梨谷-A	07:21	14:46	19:31		
吉田-A	07:22	14:47	19:32		
堀松南-B	07:24	14:49	19:34		
清水-B	07:25	14:50	19:35		
末吉-B	07:26	14:51	19:36		
高浜-E	07:28	14:53	19:38		
