始発停留所	北陸大学薬学部-B	北大太陽が丘-B	北大太陽が丘-B	北陸大学薬学部-B	北大太陽が丘-B	北陸大学薬学部-B	北陸大学薬学部-B	北陸大学薬学部-B	北陸大学薬学部-B	北大太陽が丘-B	北陸大学薬学部-B	北大太陽が丘-B	北大太陽が丘-B	北陸大学薬学部-B	北陸大学薬学部-B	北大太陽が丘-B	北陸大学薬学部-B	北陸大学薬学部-B		
始発時間	06:30	07:05	07:44	08:21	09:00	09:25	09:53	11:00	12:37	13:35	15:35	16:20	17:10	17:30	18:00	18:50	19:25	20:15		
終点時間	07:20	07:45	08:27	09:14	09:43	10:06	10:43	11:50	13:27	14:15	16:25	17:00	17:53	18:23	18:53	19:30	20:15	21:05		
終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	香林坊（日銀前）	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】		
備考											ノンステップバス									
北陸大学薬学部-B	06:30			08:21		09:25	09:53	11:00	12:37		15:35			17:30	18:00		19:25	20:15		
北陸大学松雲会館前（市内方向）	06:33			08:24		09:28	09:56	11:03	12:40		15:38			17:33	18:03		19:28	20:18		
中村（北大薬学部から）	06:34			08:25		09:29	09:57	11:04	12:41		15:39			17:34	18:04		19:29	20:19		
北大太陽が丘-B	06:38	07:05	07:44	08:29	09:00	09:33	10:01	11:08	12:45	13:35	15:43	16:20	17:10	17:38	18:08	18:50	19:33	20:23		
北大ひまわりの家-B	06:39	07:06	07:45	08:30	09:01	09:34	10:02	11:09	12:46	13:36	15:44	16:21	17:11	17:39	18:09	18:51	19:34	20:24		
北陸大学通り-B	06:40	07:07	07:46	08:31	09:02	09:35	10:03	11:10	12:47	13:37	15:45	16:22	17:12	17:40	18:10	18:52	19:35	20:25		
太陽が丘ニュータウン-B	06:42	07:09	07:48	08:33	09:04	09:37	10:05	11:12	12:49	13:39	15:47	16:24	17:14	17:42	18:12	18:54	19:37	20:27		
加賀田上-B	06:44	07:11	07:50	08:35	09:06	09:39	10:07	11:14	12:51	13:41	15:49	16:26	17:16	17:44	18:14	18:56	19:39	20:29		
下田上-B	06:45	07:12	07:51	08:36	09:07	09:40	10:08	11:15	12:52	13:42	15:50	16:27	17:17	17:45	18:15	18:57	19:40	20:30		
山環田上-D	06:46	07:13	07:52	08:37	09:08	09:41	10:09	11:16	12:53	13:43	15:51	16:28	17:18	17:46	18:16	18:58	19:41	20:31		
旭町一丁目（旭町方向）	06:47	07:14	07:53	08:38	09:09	09:42	10:10	11:17	12:54	13:44	15:52	16:29	17:19	17:47	18:17	18:59	19:42	20:32		
旭町住宅-B	06:48	07:15	07:54	08:39	09:10	09:43	10:11	11:18	12:55	13:45	15:53	16:30	17:20	17:48	18:18	19:00	19:43	20:33		
旭町（北國銀行前）	06:50	07:17	07:56	08:41	09:12	09:45	10:13	11:20	12:57	13:47	15:55	16:32	17:22	17:50	18:20	19:02	19:45	20:35		
旭町（市内方向）	06:50	07:17	07:56	08:41	09:12	09:45	10:13	11:20	12:57	13:47	15:55	16:32	17:22	17:50	18:20	19:02	19:45	20:35		
旭町口-B	06:50	07:17	07:56	08:41	09:12	09:45	10:13	11:20	12:57	13:47	15:55	16:32	17:22	17:50	18:20	19:02	19:45	20:35		
田井町-B	06:51	07:18	07:57	08:42	09:13	09:46	10:14	11:21	12:58	13:48	15:56	16:33	17:23	17:51	18:21	19:03	19:46	20:36		
桜町-B	06:52	07:19	07:58	08:43	09:14	09:47	10:15	11:22	12:59	13:49	15:57	16:34	17:24	17:52	18:22	19:04	19:47	20:37		
暁町-B	06:53	07:20	07:59	08:44	09:15	09:48	10:16	11:23	13:00	13:50	15:58	16:35	17:25	17:53	18:23	19:05	19:48	20:38		
横山町-B	06:54	07:21	08:00	08:45	09:16	09:49	10:17	11:24	13:01	13:51	15:59	16:36	17:26	17:54	18:24	19:06	19:49	20:39		
小将町-B	06:55	07:22	08:01	08:46	09:17	09:50	10:18	11:25	13:02	13:52	16:00	16:37	17:27	17:55	18:25	19:07	19:50	20:40		
兼六園下（石川門）	06:57	07:24	08:03	08:48	09:19	09:52	10:20	11:27	13:04	13:54	16:02	16:39	17:29	17:57	18:27	19:09	19:52	20:42		
広坂（金沢２１世紀美術館前）	06:59	07:26	08:05	08:50	09:21	09:54	10:22	11:29	13:06	13:56	16:04	16:41	17:31	17:59	18:29	19:11	19:54	20:44		
香林坊（日銀前）	07:00	07:27	08:06	08:51	09:22	10:06	10:23	11:30	13:07	13:57	16:05	16:42	17:32	18:00	18:30	19:12	19:55	20:45		
南町-B	07:01	07:28	08:08	08:53	09:24		10:24	11:31	13:08	13:58	16:06	16:43	17:34	18:02	18:32	19:13	19:56	20:46		
武蔵ヶ辻（エムザ前）	07:03	07:30	08:10	08:55	09:26		10:26	11:33	13:10	14:00	16:08	16:45	17:36	18:04	18:34	19:15	19:58	20:48		
リファーレ前-B	07:04	07:31	08:11	08:56	09:27		10:27	11:34	13:11	14:01	16:09	16:46	17:37	18:05	18:35	19:16	19:59	20:49		
金沢駅【降車場】	07:20	07:45	08:27	09:14	09:43		10:43	11:50	13:27	14:15	16:25	17:00	17:53	18:23	18:53	19:30	20:15	21:05		
