始発停留所	金沢駅【６】	金沢駅【６】			
始発時間	19:16	21:00			
終点時間	19:56	21:40			
終点停留所	北大太陽が丘-B	北大太陽が丘-B			
備考					
金沢駅【６】	19:16	21:00			
リファーレ前-A	19:18	21:02			
武蔵ヶ辻（近江町市場前）	19:21	21:04			
南町-A	19:23	21:05			
香林坊（アトリオ前）	19:25	21:07			
香林坊（中央公園前）	19:25	21:07			
広坂（しいのき迎賓館前）	19:26	21:08			
兼六園下（北鉄車庫前）	19:28	21:10			
小将町-A	19:29	21:11			
横山町-A	19:30	21:12			
暁町-A	19:31	21:13			
桜町-A	19:32	21:14			
田井町-A	19:33	21:15			
旭町口-A	19:34	21:16			
旭町（メモリアルホール前）	19:35	21:17			
旭町住宅-A	19:37	21:19			
旭町一丁目（旭町から）	19:38	21:20			
山環田上-C	19:40	21:22			
下田上-A	19:41	21:23			
加賀田上-A	19:43	21:25			
太陽が丘ニュータウン-A	19:45	21:27			
北陸大学通り-A	19:46	21:28			
北大ひまわりの家-A	19:47	21:29			
北大太陽が丘-B	19:56	21:40			
中村（北大薬学部方向）					
北陸大学松雲会館前（薬学部方向）					
北陸大学薬学部（降車）					
