始発停留所	金沢駅【６】	香林坊（アトリオ前）	田井町-A	香林坊（アトリオ前）	香林坊（アトリオ前）	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	香林坊（アトリオ前）	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】
始発時間	07:57	08:25	08:30	08:33	08:38	09:03	10:05	11:40	12:40	14:25	15:12	15:35	15:52	16:32	17:05	17:45	18:33	19:20	20:20	21:00
終点時間	08:50	09:09	09:04	09:17	09:22	09:53	10:55	12:30	13:20	15:15	16:02	16:06	16:32	17:12	17:58	18:28	19:23	20:10	21:00	21:40
終点停留所	北陸大学薬学部（降車）	北陸大学薬学部（降車）	北陸大学薬学部（降車）	北陸大学薬学部（降車）	北陸大学薬学部（降車）	北陸大学薬学部（降車）	北陸大学薬学部（降車）	北陸大学薬学部（降車）	北大太陽が丘-B	北陸大学薬学部（降車）	北陸大学薬学部（降車）	北大太陽が丘-B	北大太陽が丘-B	北大太陽が丘-B	北陸大学薬学部（降車）	北大太陽が丘-B	北陸大学薬学部（降車）	北陸大学薬学部（降車）	北大太陽が丘-B	北大太陽が丘-B
備考		学期休み期間、運休	学期休み期間、運休		学期休み期間、運休					ノンステップバス										
金沢駅【６】	07:57					09:03	10:05	11:40	12:40	14:25	15:12		15:52	16:32	17:05	17:45	18:33	19:20	20:20	21:00
リファーレ前-A	07:59					09:05	10:07	11:42	12:42	14:27	15:14		15:54	16:34	17:07	17:47	18:35	19:22	20:22	21:02
武蔵ヶ辻（近江町市場前）	08:02					09:08	10:10	11:45	12:45	14:30	15:17		15:57	16:37	17:10	17:50	18:38	19:25	20:24	21:04
南町-A	08:04					09:10	10:12	11:47	12:47	14:32	15:19		15:59	16:39	17:12	17:52	18:40	19:27	20:25	21:05
香林坊（アトリオ前）	08:06	08:25		08:33	08:38	09:12	10:14	11:49	12:49	14:34	15:21	15:35	16:01	16:41	17:14	17:54	18:42	19:29	20:27	21:07
香林坊（中央公園前）	08:06	08:25		08:33	08:38	09:12	10:14	11:49	12:49	14:34	15:21	15:35	16:01	16:41	17:14	17:54	18:42	19:29	20:27	21:07
広坂（しいのき迎賓館前）	08:07	08:26		08:34	08:39	09:13	10:15	11:50	12:50	14:35	15:22	15:36	16:02	16:42	17:15	17:55	18:43	19:30	20:28	21:08
兼六園下（北鉄車庫前）	08:10	08:28		08:36	08:41	09:15	10:17	11:52	12:52	14:37	15:24	15:38	16:04	16:44	17:17	17:57	18:45	19:32	20:30	21:10
小将町-A	08:11	08:29		08:37	08:42	09:16	10:18	11:53	12:53	14:38	15:25	15:39	16:05	16:45	17:18	17:58	18:46	19:33	20:31	21:11
横山町-A	08:12	08:30		08:38	08:43	09:17	10:19	11:54	12:54	14:39	15:26	15:40	16:06	16:46	17:19	17:59	18:47	19:34	20:32	21:12
暁町-A	08:13	08:31		08:39	08:44	09:18	10:20	11:55	12:55	14:40	15:27	15:41	16:07	16:47	17:20	18:00	18:48	19:35	20:33	21:13
桜町-A	08:14	08:32		08:40	08:45	09:19	10:21	11:56	12:56	14:41	15:28	15:42	16:08	16:48	17:21	18:01	18:49	19:36	20:34	21:14
田井町-A	08:15	08:33	08:30	08:41	08:46	09:20	10:22	11:57	12:57	14:42	15:29	15:43	16:09	16:49	17:22	18:02	18:50	19:37	20:35	21:15
旭町口-A	08:16	08:34	08:31	08:42	08:47	09:21	10:23	11:58	12:58	14:43	15:30	15:44	16:10	16:50	17:23	18:03	18:51	19:38	20:36	21:16
旭町（メモリアルホール前）	08:18	08:35	08:32	08:43	08:48	09:22	10:24	11:59	12:59	14:44	15:31	15:45	16:11	16:51	17:24	18:04	18:52	19:39	20:37	21:17
旭町住宅-A	08:20	08:37	08:34	08:45	08:50	09:24	10:26	12:01	13:01	14:46	15:33	15:47	16:13	16:53	17:26	18:06	18:54	19:41	20:39	21:19
旭町一丁目（旭町から）	08:21	08:38	08:35	08:46	08:51	09:25	10:27	12:02	13:02	14:47	15:34	15:48	16:14	16:54	17:27	18:07	18:55	19:42	20:40	21:20
山環田上-C	08:25	08:40	08:37	08:48	08:53	09:27	10:29	12:04	13:04	14:49	15:36	15:50	16:16	16:56	17:29	18:09	18:57	19:44	20:42	21:22
下田上-A	08:26	08:41	08:38	08:49	08:54	09:28	10:30	12:05	13:05	14:50	15:37	15:51	16:17	16:57	17:30	18:10	18:58	19:45	20:43	21:23
加賀田上-A	08:28	08:43	08:40	08:51	08:56	09:30	10:32	12:07	13:07	14:52	15:39	15:53	16:19	16:59	17:32	18:12	19:00	19:47	20:45	21:25
太陽が丘ニュータウン-A	08:30	08:45	08:42	08:53	08:58	09:32	10:34	12:09	13:09	14:54	15:41	15:55	16:21	17:01	17:34	18:14	19:02	19:49	20:47	21:27
北陸大学通り-A	08:31	08:46	08:43	08:54	08:59	09:33	10:35	12:10	13:10	14:55	15:42	15:56	16:22	17:02	17:35	18:15	19:03	19:50	20:48	21:28
北大ひまわりの家-A	08:32	08:47	08:44	08:55	09:00	09:34	10:36	12:11	13:11	14:56	15:43	15:57	16:23	17:03	17:36	18:16	19:04	19:51	20:49	21:29
北大太陽が丘-B	08:33	08:48	08:45	08:56	09:01	09:35	10:37	12:12	13:20	14:57	15:44	16:06	16:32	17:12	17:37	18:28	19:05	19:52	21:00	21:40
中村（北大薬学部方向）	08:36	08:51	08:48	08:59	09:04	09:38	10:40	12:15		15:00	15:47				17:40		19:08	19:55		
北陸大学松雲会館前（薬学部方向）	08:37	08:52	08:49	09:00	09:05	09:39	10:41	12:16		15:01	15:48				17:41		19:09	19:56		
北陸大学薬学部（降車）	08:50	09:09	09:04	09:17	09:22	09:53	10:55	12:30		15:15	16:02				17:58		19:23	20:10		
