始発停留所	湯谷原-B	医王山スポーツセンター前-A	太陽が丘ニュータウン-B	湯谷原-B	医王山スポーツセンター前-A
始発時間	06:58	08:55	10:25	14:28	16:56
終点時間	07:45	09:49	11:00	15:15	17:50
終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】
備考	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス
医王山スポーツセンター前-A		08:55			16:56
医王山スキー場前-B		08:56			16:57
キゴ山ふれあいの里前		08:57			16:58
湯谷原-B	06:58	08:58		14:28	16:59
小豆沢口-B	06:59	08:59		14:29	17:00
別所口-A	07:00	09:00		14:30	17:01
医王口（市内側）	07:01	09:01		14:31	17:02
俵小学校前-A	07:02	09:02		14:32	17:03
俵-B	07:03	09:03		14:33	17:04
太陽が丘ニュータウン-B	07:08	09:08	10:25	14:38	17:09
加賀田上-B	07:10	09:10	10:27	14:40	17:11
下田上-B	07:11	09:11	10:28	14:41	17:12
山環田上-D	07:12	09:12	10:29	14:42	17:13
旭町一丁目（旭町方向）	07:13	09:13	10:30	14:43	17:14
旭町住宅-B	07:14	09:14	10:31	14:44	17:15
旭町（北國銀行前）	07:15	09:15	10:32	14:45	17:16
旭町（市内方向）	07:15	09:15	10:32	14:45	17:16
旭町口-B	07:16	09:17	10:33	14:46	17:18
田井町-B	07:17	09:18	10:34	14:47	17:19
如来寺前（旭町から）	07:19	09:20	10:36	14:49	17:21
小立野-B	07:21	09:22	10:38	14:51	17:23
石引町-B	07:22	09:24	10:39	14:52	17:25
出羽町-B	07:23	09:25	10:40	14:53	17:26
兼六園下（物産館前）	07:26	09:28	10:43	14:56	17:29
兼六園下（石川門）	07:26	09:28	10:43	14:56	17:29
広坂（金沢２１世紀美術館前）	07:28	09:30	10:45	14:58	17:31
香林坊（日銀前）	07:30	09:32	10:47	15:00	17:33
南町-B	07:32	09:34	10:49	15:02	17:35
武蔵ヶ辻（エムザ前）	07:34	09:36	10:51	15:04	17:37
武蔵ヶ辻（スカイ前）	-	-	-	-	-
リファーレ前-B	07:36	09:38	10:53	15:06	17:39
金沢駅【降車場】	07:45	09:49	11:00	15:15	17:50
六枚町（金石方向）					
広岡口（朱鷺の苑前）					
金沢駅西口降車					
金沢駅西口【６】					
広岡-A					
西念南-A					
西念西-A					
駅西合庁前（西念南から）					
県庁前-D					
