始発停留所	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン			
始発時間	06:38	06:48	06:55	07:10	07:15	07:20	07:28	07:30	07:40	08:02	09:07	09:42	10:17	10:47	11:17	11:32	12:02	12:32	13:17	13:47	14:17	14:47	15:17	16:02	16:32	17:02	17:22	17:47	18:22	19:12	19:52	20:32			
終点時間	07:27	07:50	07:44	08:09	08:00	08:19	08:12	08:29	08:39	09:01	10:04	10:39	11:14	11:44	12:14	12:29	12:59	13:29	14:14	14:44	15:16	15:46	16:16	17:03	17:33	18:03	18:23	18:41	19:16	20:06	20:41	21:21			
終点停留所	金沢駅【降車場】	星稜高校（駐車場内）	金沢駅【降車場】	金沢駅【降車場】	県庁前-D	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】			
備考	ノンステップバス					ノンステップバス		ノンステップバス					ノンステップバス						ノンステップバス	ノンステップバス				ノンステップバス		ノンステップバス									
千代野ニュータウン	06:38	06:48	06:55	07:10	07:15	07:20	07:28	07:30	07:40	08:02	09:07	09:42	10:17	10:47	11:17	11:32	12:02	12:32	13:17	13:47	14:17	14:47	15:17	16:02	16:32	17:02	17:22	17:47	18:22	19:12	19:52	20:32			
千代野西八丁目-B	06:39	06:49	06:56	07:11	07:16	07:21	07:29	07:31	07:41	08:03	09:08	09:43	10:18	10:48	11:18	11:33	12:03	12:33	13:18	13:48	14:18	14:48	15:18	16:03	16:33	17:03	17:23	17:48	18:23	19:13	19:53	20:33			
千代野西六丁目-B	06:39	06:49	06:56	07:11	07:16	07:21	07:29	07:31	07:41	08:03	09:08	09:43	10:18	10:48	11:18	11:33	12:03	12:33	13:18	13:48	14:18	14:48	15:18	16:03	16:33	17:03	17:23	17:48	18:23	19:13	19:53	20:33			
千代野西二丁目-B	06:40	06:50	06:57	07:12	07:17	07:22	07:30	07:32	07:42	08:04	09:09	09:44	10:19	10:49	11:19	11:34	12:04	12:34	13:19	13:49	14:19	14:49	15:19	16:04	16:34	17:04	17:24	17:49	18:24	19:14	19:54	20:34			
千代野東三丁目-B	06:41	06:51	06:58	07:13	07:18	07:23	07:31	07:33	07:43	08:05	09:10	09:45	10:20	10:50	11:20	11:35	12:05	12:35	13:20	13:50	14:20	14:50	15:20	16:05	16:35	17:05	17:25	17:50	18:25	19:15	19:55	20:35			
千代野東一丁目-B	06:42	06:52	06:59	07:14	07:19	07:24	07:32	07:34	07:44	08:06	09:11	09:46	10:21	10:51	11:21	11:36	12:06	12:36	13:21	13:51	14:21	14:51	15:21	16:06	16:36	17:06	17:26	17:51	18:26	19:16	19:56	20:36			
北安田南-B	06:43	06:53	07:00	07:15	07:20	07:25	07:33	07:35	07:45	08:07	09:12	09:47	10:22	10:52	11:22	11:37	12:07	12:37	13:22	13:52	14:22	14:52	15:22	16:07	16:37	17:07	17:27	17:52	18:27	19:17	19:57	20:37			
北安田中央-B	06:43	06:53	07:00	07:15	-	07:25	-	07:35	07:45	08:07	09:12	09:47	10:22	10:52	11:22	11:37	12:07	12:37	13:22	13:52	14:22	14:52	15:22	16:07	16:37	17:07	17:27	17:52	18:27	19:17	19:57	20:37			
北安田-B	06:44	06:54	07:01	07:16	-	07:26	-	07:36	07:46	08:08	09:13	09:48	10:23	10:53	11:23	11:38	12:08	12:38	13:23	13:53	14:23	14:53	15:23	16:08	16:38	17:08	17:28	17:53	18:28	19:18	19:58	20:38			
茶屋一丁目-B	-	-	-	-	07:23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
出城公民館前-B	06:45	06:55	07:02	07:17	-	07:27	-	07:37	07:47	08:09	09:14	09:49	10:24	10:54	11:24	11:39	12:09	12:39	13:24	13:54	14:24	14:54	15:24	16:09	16:39	17:09	17:29	17:54	18:29	19:19	19:59	20:39			
村井町（千代野から）	06:46	06:56	07:03	07:18	-	07:28	-	07:38	07:48	08:10	09:15	09:50	10:25	10:55	11:25	11:40	12:10	12:40	13:25	13:55	14:25	14:55	15:25	16:10	16:40	17:10	17:30	17:55	18:30	19:20	20:00	20:40			
南松任（金沢駅方向）	06:47	06:57	07:04	07:19	-	07:29	-	07:39	07:49	08:11	09:16	09:51	10:26	10:56	11:26	11:41	12:11	12:41	13:26	13:56	14:26	14:56	15:26	16:11	16:41	17:11	17:31	17:56	18:31	19:21	20:01	20:41			
松任高校前-B	06:48	06:58	07:05	07:20	-	07:30	-	07:40	07:50	08:12	09:17	09:52	10:27	10:57	11:27	11:42	12:12	12:42	13:27	13:57	14:27	14:57	15:27	16:12	16:42	17:12	17:32	17:57	18:32	19:22	20:02	20:42			
西新町-B	06:49	06:59	07:06	07:21	-	07:31	-	07:41	07:51	08:13	09:18	09:53	10:28	10:58	11:28	11:43	12:13	12:43	13:28	13:58	14:28	14:58	15:28	16:13	16:43	17:13	17:33	17:58	18:33	19:23	20:03	20:43			
松任（金沢駅方向）	06:51	07:00	07:08	07:23	07:25	07:33	07:36	07:43	07:53	08:15	09:20	09:55	10:30	11:00	11:30	11:45	12:15	12:45	13:30	14:00	14:30	15:00	15:30	16:15	16:45	17:15	17:35	18:00	18:35	19:25	20:05	20:45			
新田	-	-	-	-	07:28	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
宮永市-B	-	-	-	-	07:29	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
やすらぎホーム前	-	-	-	-	07:36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
矢木-C	-	-	-	-	07:38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
尾山台高校-B	-	-	-	-	07:42	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
みどり中央（郊外方向）	-	-	-	-	07:43	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
