始発停留所	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	県庁前-B	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	
始発時間	07:00	07:45	08:15	09:00	09:30	09:45	10:00	10:30	11:00	11:15	11:53	12:00	12:13	12:28	13:08	13:28	14:28	15:00	15:28	15:55	16:40	16:55	17:35	17:55	18:15	18:35	19:10	19:50	20:10	20:50	21:10	21:30	22:00	22:30	
終点時間	07:48	08:35	09:05	09:50	10:20	10:35	10:58	11:28	11:58	12:13	12:51	12:45	13:11	13:26	14:06	14:26	15:26	15:58	16:26	16:53	17:38	17:53	18:33	18:53	19:10	19:30	20:05	20:45	21:01	21:41	22:01	22:21	22:51	23:21	
終点停留所	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	
備考									ノンステップバス	ノンステップバス							ノンステップバス	ノンステップバス			ノンステップバス	ノンステップバス													
県庁前-B												12:00																							
市立工業高校東口												12:02																							
金沢西高校-C												12:03																							
みどり中央（市内方向）												12:16																							
尾山台高校-A												12:17																							
矢木-C												12:21																							
