始発停留所	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	県庁前-B	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	県庁前-B	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】
始発時間	08:10	08:35	09:05	09:25	09:45	10:30	11:00	11:15	11:45	12:15	13:00	13:30	13:45	14:15	14:45	15:15	16:00	16:00	16:30	17:00	17:15	17:25	18:00	18:00	18:15	18:30	19:00	19:15	20:00	20:30	21:05	21:30	22:30	23:10	23:30
終点時間	09:15	09:40	10:03	10:23	10:43	11:28	11:58	12:13	12:43	13:13	14:00	14:30	14:45	15:15	15:45	16:15	17:05	16:45	17:35	18:05	18:20	18:30	19:05	18:45	19:20	19:27	19:57	20:12	20:51	21:21	21:56	22:21	23:21	24:01	24:21
終点停留所	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン	千代野ニュータウン
備考	ノンステップバス	ノンステップバス	ノンステップバス									ノンステップバス		ノンステップバス		ノンステップバス					ノンステップバス	ノンステップバス			ノンステップバス				ノンステップバス						金曜のみ運行
県庁前-B																		16:00						18:00											
市立工業高校東口																		16:02						18:02											
金沢西高校-C																		16:03						18:03											
みどり中央（市内方向）																		16:16						18:16											
尾山台高校-A																		16:17						18:17											
矢木-C																		16:21						18:21											
やすらぎホーム前																		16:23						18:23											
宮永市-A																		16:30						18:30											
新田																		16:31						18:31											
