始発停留所	千寿閣	千寿閣	千寿閣	千寿閣	千寿閣	千寿閣	千寿閣			
始発時間	07:10	09:15	10:35	12:10	13:20	15:15	16:55			
終点時間	07:43	09:44	11:08	12:39	13:53	15:48	17:28			
終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】			
備考	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス			
千寿閣	07:10	09:15	10:35	12:10	13:20	15:15	16:55			
鈴見台四丁目-B	07:12	-	10:37	-	13:22	-	16:57			
鈴見台三丁目-B	07:13	-	10:38	-	13:23	-	16:58			
鈴見台二丁目（千寿閣から）	07:15	-	10:40	-	13:25	-	17:00			
鈴見台一丁目（アオキ向）	07:16	-	10:41	-	13:26	-	17:01			
桜町-B	07:19	-	10:44	-	13:29	-	17:04			
暁町-B	07:20	-	10:45	-	13:30	-	17:05			
横山町-B	07:21	-	10:46	-	13:31	-	17:06			
小将町-B	07:22	-	10:47	-	13:32	-	17:07			
卯辰山公園口-A	-	09:17	-	12:12	-	15:17	-			
卯辰山公園-B	-	09:18	-	12:13	-	15:18	-			
望湖台-B	-	09:19	-	12:14	-	15:19	-			
豊国神社前	-	09:20	-	12:15	-	15:20	-			
天神橋-B	-	09:22	-	12:17	-	15:22	-			
味噌蔵町-B	-	09:23	-	12:18	-	15:23	-			
兼六園下（石川門）	07:25	09:25	10:50	12:20	13:35	15:25	17:10			
広坂（金沢２１世紀美術館前）	07:27	09:27	10:52	12:22	13:37	15:27	17:12			
香林坊（日銀前）	07:29	09:29	10:54	12:24	13:39	15:29	17:14			
南町-B	07:30	09:31	10:55	12:26	13:40	15:31	17:15			
武蔵ヶ辻（エムザ前）	07:31	09:33	10:56	12:28	13:41	15:33	17:16			
リファーレ前-B	07:33	09:36	10:58	12:31	13:43	15:36	17:18			
金沢駅【降車場】	07:43	09:44	11:08	12:39	13:53	15:48	17:28			
