始発停留所	千寿閣	千寿閣	千寿閣	千寿閣	千寿閣	千寿閣	千寿閣	千寿閣	千寿閣	
始発時間	07:10	09:15	10:35	12:10	13:15	14:35	15:25	16:55	18:20	
終点時間	07:43	09:44	11:08	12:39	13:48	15:08	15:56	17:26	18:53	
終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	
備考	ノンステップバス			ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	
千寿閣	07:10	09:15	10:35	12:10	13:15	14:35	15:25	16:55	18:20	
鈴見台四丁目-B	07:12	-	10:37	-	13:17	14:37	-	-	18:22	
鈴見台三丁目-B	07:13	-	10:38	-	13:18	14:38	-	-	18:23	
鈴見台二丁目（千寿閣から）	07:15	-	10:40	-	13:20	14:40	-	-	18:25	
鈴見台一丁目（アオキ向）	07:16	-	10:41	-	13:21	14:41	-	-	18:26	
桜町-B	07:19	-	10:44	-	13:24	14:44	-	-	18:29	
暁町-B	07:20	-	10:45	-	13:25	14:45	-	-	18:30	
横山町-B	07:21	-	10:46	-	13:26	14:46	-	-	18:31	
小将町-B	07:22	-	10:47	-	13:27	14:47	-	-	18:32	
卯辰山公園口-A	-	09:17	-	12:12	-	-	15:27	16:57	-	
卯辰山公園-B	-	09:18	-	12:13	-	-	15:28	16:58	-	
望湖台-B	-	09:19	-	12:14	-	-	15:29	16:59	-	
豊国神社前	-	09:20	-	12:15	-	-	15:30	17:00	-	
天神橋-B	-	09:22	-	12:17	-	-	15:32	17:02	-	
味噌蔵町-B	-	09:23	-	12:18	-	-	15:33	17:03	-	
兼六園下（石川門向い）	07:25	09:25	10:50	12:20	13:30	14:50	15:35	17:05	18:35	
広坂（金沢２１世紀美術館前）	07:27	09:27	10:52	12:22	13:32	14:52	15:37	17:07	18:37	
香林坊（日銀前）	07:29	09:29	10:54	12:24	13:34	14:54	15:39	17:09	18:39	
南町-B	07:30	09:31	10:55	12:26	13:35	14:55	15:41	17:11	18:40	
武蔵ヶ辻（めいてつエムザ前）	07:31	09:33	10:56	12:28	13:36	14:56	15:43	17:13	18:41	
リファーレ前-B	07:33	09:36	10:58	12:31	13:38	14:58	15:46	17:16	18:43	
金沢駅【降車場】	07:43	09:44	11:08	12:39	13:48	15:08	15:56	17:26	18:53	
