始発停留所	金沢駅【６】	金沢駅【６】			
始発時間	16:20	18:10			
終点時間	16:53	18:43			
終点停留所	千寿閣	千寿閣			
備考	ノンステップバス	ノンステップバス			
金沢駅【６】	16:20	18:10			
リファーレ前-A	16:22	18:12			
武蔵ヶ辻（近江町市場前）	16:25	18:15			
南町-A	16:27	18:17			
香林坊（アトリオ前）	16:29	18:19			
香林坊（中央公園前）	16:29	18:19			
広坂（しいのき迎賓館前）	16:30	18:20			
兼六園下（白鳥路前）	-	-			
兼六園下（北鉄車庫前）	16:32	18:22			
味噌蔵町-A	-	-			
天神橋-A	-	-			
豊国神社前	-	-			
望湖台-A	-	-			
卯辰山公園口-B	-	-			
小将町-A	16:34	18:24			
横山町-A	16:35	18:25			
暁町-A	16:36	18:26			
桜町-A	16:37	18:27			
鈴見台一丁目（アオキ前）	16:39	18:29			
鈴見台二丁目（千寿閣方向）	16:40	18:30			
鈴見台三丁目-A	16:42	18:32			
鈴見台四丁目-A	16:44	18:34			
千寿閣	16:53	18:43			
