始発停留所	塩屋	大聖寺駅-C	塩屋	塩屋	市民病院-A	市民病院-A	塩屋	市民病院-A	大聖寺実業高校前	大聖寺実業高校前	大聖寺駅-C				
始発時間	07:10	07:15	07:50	09:30	11:05	12:20	14:00	14:15	16:07	18:07	19:10				
終点時間	07:26	07:33	08:09	09:49	11:44	12:43	14:16	14:54	16:44	18:44	19:28				
終点停留所	大聖寺駅-E	山代東口（３）	大聖寺駅-E	大聖寺駅-E	山中温泉-C	山代東口（３）	大聖寺駅-E	山中温泉-C	山中温泉-C	山中温泉-C	山代東口（３）				
備考															
塩屋	07:10		07:50	09:30			14:00								
瀬越	-		-	-			-								
加賀市青年の家	-		-	-			-								
上木出村	-		-	-			-								
上木	-		-	-			-								
吉崎	07:11		07:51	09:31			14:01								
瀬越口	07:12		07:52	09:32			14:02								
永井西口	07:13		07:53	09:33			14:03								
永井	07:14		07:54	09:34			14:04								
永井新	07:15		07:55	09:35			14:05								
三木-B	07:16		07:56	09:36			14:06								
三ツ	07:18		07:58	09:38			14:08								
錦城ケ丘-B	07:19		07:59	09:39			14:09								
錦町-B	07:20		08:00	09:40			14:10								
関町-B	07:21		08:01	09:41			14:11								
越前町-C	-		08:02	09:42			-								
市民病院-A	-		08:03	09:43	11:05	12:20	-	14:15							
越前町-B	07:22		08:04	09:44	11:06	12:21	14:12	14:16							
南町（加賀）-B	07:24		08:06	09:46	11:07	12:22	14:14	14:17							
大聖寺実業高校前	-		-	-	-	-	-	-	16:07	18:07					
大聖寺駅-E	07:26		08:09	09:49	-	-	14:16	-	-	-					
大聖寺駅-C		07:15			11:10	12:25		14:20	16:10	18:10	19:10				
南町（加賀）-A		07:16			11:11	12:26		14:21	16:11	18:11	19:11				
弓町-A		07:17			11:12	12:27		14:22	16:12	18:12	19:12				
菅生町-A		07:18			11:13	12:28		14:23	16:13	18:13	19:13				
南郷公民館前-A		07:19			11:14	12:29		14:24	16:14	18:14	19:14				
南郷-A		07:20			11:15	12:30		14:25	16:15	18:15	19:15				
下河崎-A		07:21			11:16	12:31		14:26	16:16	18:16	19:16				
上河崎-A		07:22			11:17	12:32		14:27	16:17	18:17	19:17				
黒瀬西-A		07:24			11:19	12:34		14:29	16:19	18:19	19:19				
黒瀬-A		07:25			11:20	12:35		14:30	16:20	18:20	19:20				
保賀-B		07:27			11:22	12:37		14:32	16:22	18:22	19:22				
山代小学校前-B		07:28			11:23	12:39		14:33	16:23	18:23	19:23				
幸町-D		07:29			-	12:40		-	-	-	19:24				
山代温泉-B		07:30			-	12:41		-	-	-	19:25				
山代東口（３）		07:33			-	12:43		-	-	-	19:28				
幸町-B					11:24			14:34	16:24	18:24					
山代東口（１）					11:28			14:38	16:26	18:26					
山代温泉-A					11:29			14:39	16:27	18:27					
幸町-C					11:30			14:40	16:30	18:30					
山代西口-A					11:31			14:41	16:31	18:31					
山代温泉南口-A					11:32			14:42	16:32	18:32					
河南-A					11:34			14:44	16:34	18:34					
淀町-A					11:35			14:45	16:35	18:35					
二天-A					11:36			14:46	16:36	18:36					
中田-A					11:37			14:47	16:37	18:37					
長谷田-A					11:38			14:48	16:38	18:38					
旭町-A					11:39			14:49	16:39	18:39					
上原-A					11:40			14:50	16:40	18:40					
塚谷-A					11:41			14:51	16:41	18:41					
桂木町-A					11:42			14:52	16:42	18:42					
山中温泉-C					11:44			14:54	16:44	18:44					
