始発停留所	石崎漁港前-A	石崎漁港前-A	能登総合病院	石崎漁港前-A	石崎漁港前-A
始発時間	10:02	11:32	12:50	14:02	16:32
終点時間	10:19	11:49	12:57	14:19	16:49
終点停留所	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】
備考					
石崎漁港前-A	10:02	11:32		14:02	16:32
石崎東四区	10:03	11:33		14:03	16:33
石崎駐在所前	10:04	11:34		14:04	16:34
石崎小学校前	10:05	11:35		14:05	16:35
石崎口-B	10:06	11:36		14:06	16:36
祖浜-B	10:07	11:37		14:07	16:37
松百-B	10:08	11:38		14:08	16:38
国立七尾病院前-B	10:09	11:39		14:09	16:39
松百新町-B	10:10	11:40		14:10	16:40
津向町-B	10:11	11:41		14:11	16:41
七尾車庫前-B	10:12	11:42		14:12	16:42
つつじケ浜-B	10:13	11:43		14:13	16:43
桜町-B	10:14	11:44		14:14	16:44
寿町-B	10:14	11:44		14:14	16:44
能登食祭市場-B	10:15	11:45		14:15	16:45
桧物町-B	10:16	11:46		14:16	16:46
能登総合病院	-	-	12:50	-	-
岩屋（化石層）	-	-	-	-	-
西藤橋-A	-	-	12:53	-	-
小丸山公園下-B	-	-	12:55	-	-
七尾駅前-J	-	-	-	-	-
七尾駅前【１】	10:19	11:49	12:57	14:19	16:49
