始発停留所	七尾駅前【６】	七尾駅前【６】			
始発時間	19:40	20:30			
終点時間	20:20	21:05			
終点停留所	七尾駅前【１】	七尾駅前【１】			
備考					
七尾駅前【６】	19:40	20:30			
桧物町-A	19:41	20:31			
能登食祭市場-A	19:42	20:32			
寿町-A	19:43	20:33			
桜町-A	19:44	20:33			
つつじケ浜-A	19:45	20:34			
七尾車庫前-A	19:46	20:35			
小丸山公園下-A	-	-			
小島橋-A	-	-			
小島町三丁目-A	-	-			
津向町-A	19:47	20:36			
松百新町-A	19:48	20:37			
国立七尾病院前-A	19:49	20:38			
松百-A	19:50	20:39			
祖浜-A	19:51	20:40			
石崎口-C	-	-			
石崎小学校前	-	-			
石崎駐在所前	-	-			
石崎東四区	-	-			
石崎漁港前-A	-	-			
石崎口-A	19:52	20:41			
和倉駅前-A	19:53	20:42			
香島中学校前-A	19:54	20:43			
温泉口-A	19:55	20:44			
和倉小学校前	19:56	20:45			
観光会館前	19:57	20:46			
和倉温泉	19:59	20:47			
温泉口-B	20:03	20:49			
香島中学校前-B	20:04	20:50			
和倉駅前-B	20:05	20:52			
石崎口-B	20:06	20:53			
祖浜-B	20:07	20:54			
松百-B	20:08	20:55			
国立七尾病院前-B	20:09	20:56			
松百新町-B	20:10	20:57			
津向町-B	20:11	20:58			
小島町三丁目-B	-	-			
小島橋-B	-	-			
小丸山公園下-B	-	-			
七尾車庫前-B	20:12	20:59			
つつじケ浜-B	20:13	21:00			
桜町-B	20:14	21:01			
寿町-B	20:14	21:02			
能登食祭市場-B	20:15	21:03			
桧物町-B	20:16	21:04			
七尾駅前【１】	20:20	21:05			
七尾駅前-G					
七尾駅前【５】					
小丸山公園下-C					
七尾美術館前-A					
西藤橋-B					
岩屋（化石層）					
能登総合病院					
