始発停留所	金石-A	金石-A	金石-A		
始発時間	19:55	20:30	21:00		
終点時間	20:51	21:35	22:00		
終点停留所	南四十万二丁目	山島台四丁目-B	南部車庫-A		
備考	ノンステップバス	ノンステップバス			
金石-A	19:55	20:30	21:00		
西警察署前-B	19:56	20:31	21:01		
寺中-B	19:57	20:32	21:02		
観音堂-B	19:59	20:34	21:04		
畝田-B	20:00	20:35	21:05		
市立工業高校前-B	20:01	20:36	21:06		
藤江-B	20:02	20:37	21:07		
北町西-B	20:04	20:39	21:09		
北町-B	20:05	20:40	21:10		
中央市場口-B	20:06	20:41	21:11		
長田町-B	20:08	20:43	21:13		
長田一丁目-B	20:09	20:44	21:14		
中橋-B	20:11	20:46	21:16		
六枚町（こんや湯前）	20:12	20:47	21:17		
武蔵ヶ辻（近江町市場前）	20:14	20:49	21:19		
武蔵ヶ辻（三井住友銀行前）	-	-	-		
武蔵ヶ辻（北陸銀行前）	-	-	-		
南町-A	20:16	20:51	21:21		
香林坊（アトリオ前）	20:18	20:53	21:23		
香林坊（中央公園前）	-	-	-		
片町（パシオン前）	20:19	20:54	21:24		
広小路（有松方向）	20:20	20:55	21:25		
野町-A	20:21	20:56	21:26		
泉一丁目-A	20:22	20:57	21:27		
泉二丁目-A	20:24	20:59	21:29		
有松（寺地方向）	20:26	21:01	21:31		
上有松-A	20:27	21:02	21:32		
寺地-A	20:28	21:03	21:33		
伏見台（郊外方向）	20:29	21:04	21:34		
錦丘高校前（四十万方向）	20:30	21:05	21:35		
三馬日赤病院前-A	20:31	21:06	21:36		
金沢工業大学（四十万方向）	20:33	21:08	21:38		
扇が丘-A	20:34	21:09	21:39		
扇台小学校前-A	20:35	21:10	21:40		
光が丘口（四十万方向）	20:37	21:12	21:42		
大額二丁目-A	20:38	21:13	21:43		
大額三丁目-A	20:39	21:14	21:44		
額中学校前-A	20:40	21:15	21:45		
しじま台-A	20:41	21:16	21:46		
四十万-A	20:42	21:17	21:47		
中四十万（南部車庫方向）	-	21:18	21:48		
中四十万（南四十万方向）	20:43	-	-		
南四十万-A	20:44	-	-		
南四十万二丁目	20:51	-	-		
加賀産新庄-A		21:20	21:50		
加賀産上林-A		21:22	21:52		
南部車庫-A		-	22:00		
南部車庫（加賀産郊外方向）		21:24			
加賀産みずほ台-A		21:25			
加賀産藤の木（辰口方向）		21:27			
山島台一丁目-B		21:29			
山島台四丁目-B		21:35			
広坂（しいのき迎賓館前）					
兼六園下（北鉄車庫前）					
兼六園下（県駐車場前）					
出羽町-A					
小立野-A					
如来寺前（旭町方向）					
彦三-A					
瓢箪町-A					
小橋町-A					
森山二丁目（山の上方向）					
山の上（鳴和方向）					
春日町（山の上から）					
桜丘高校前-A					
鳴和台-C					
御所町-A					
星稜高校（駐車場内）					
