始発停留所	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A			
始発時間	07:00	07:40	08:05	08:40	09:15	09:45	10:15	10:45	11:15	11:45	12:15	12:48	13:25	13:58	14:33	15:05	15:42	16:17	16:50	17:20	17:55	18:25	18:40	19:15	19:55	20:30	21:00			
終点時間	08:00	08:40	09:01	09:36	10:20	10:50	11:16	11:50	12:20	12:55	13:16	13:53	14:30	14:59	15:38	16:10	16:43	17:27	17:55	18:21	19:00	19:30	19:50	20:15	20:51	21:35	22:00			
終点停留所	南部車庫-A	南部車庫-A	南四十万二丁目	南四十万二丁目	南部車庫-A	南部車庫-A	南四十万二丁目	南部車庫-A	南部車庫-A	山島台四丁目-B	南四十万二丁目	南部車庫-A	南部車庫-A	南四十万二丁目	南部車庫-A	南部車庫-A	南四十万二丁目	山島台四丁目-B	南部車庫-A	南四十万二丁目	南部車庫-A	南部車庫-A	山島台四丁目-B	南部車庫-A	南四十万二丁目	山島台四丁目-B	南部車庫-A			
備考			ノンステップバス	ノンステップバス				ノンステップバス																ノンステップバス	ノンステップバス	ノンステップバス				
金石-A	07:00	07:40	08:05	08:40	09:15	09:45	10:15	10:45	11:15	11:45	12:15	12:48	13:25	13:58	14:33	15:05	15:42	16:17	16:50	17:20	17:55	18:25	18:40	19:15	19:55	20:30	21:00			
西警察署前-B	07:01	07:41	08:06	08:41	09:16	09:46	10:16	10:46	11:16	11:46	12:16	12:49	13:26	13:59	14:34	15:06	15:43	16:18	16:51	17:21	17:56	18:26	18:41	19:16	19:56	20:31	21:01			
寺中-B	07:02	07:42	08:07	08:42	09:17	09:47	10:17	10:47	11:17	11:47	12:17	12:50	13:27	14:00	14:35	15:07	15:44	16:19	16:52	17:22	17:57	18:27	18:42	19:17	19:57	20:32	21:02			
観音堂-B	07:04	07:44	08:09	08:44	09:19	09:49	10:19	10:49	11:19	11:49	12:19	12:52	13:29	14:02	14:37	15:09	15:46	16:21	16:54	17:24	17:59	18:29	18:44	19:19	19:59	20:34	21:04			
畝田-B	07:05	07:45	08:10	08:45	09:20	09:50	10:20	10:50	11:20	11:50	12:20	12:53	13:30	14:03	14:38	15:10	15:47	16:22	16:55	17:25	18:00	18:30	18:45	19:20	20:00	20:35	21:05			
市立工業高校前-B	07:06	07:46	08:11	08:46	09:21	09:51	10:21	10:51	11:21	11:51	12:21	12:54	13:31	14:04	14:39	15:11	15:48	16:23	16:56	17:26	18:01	18:31	18:46	19:21	20:01	20:36	21:06			
藤江-B	07:07	07:47	08:12	08:47	09:22	09:52	10:22	10:52	11:22	11:52	12:22	12:55	13:32	14:05	14:40	15:12	15:49	16:24	16:57	17:27	18:02	18:32	18:47	19:22	20:02	20:37	21:07			
北町西-B	07:09	07:49	08:14	08:49	09:24	09:54	10:24	10:54	11:24	11:54	12:24	12:57	13:34	14:07	14:42	15:14	15:51	16:26	16:59	17:29	18:04	18:34	18:49	19:24	20:04	20:39	21:09			
北町-B	07:10	07:50	08:15	08:50	09:25	09:55	10:25	10:55	11:25	11:55	12:25	12:58	13:35	14:08	14:43	15:15	15:52	16:27	17:00	17:30	18:05	18:35	18:50	19:25	20:05	20:40	21:10			
中央市場口-B	07:11	07:51	08:16	08:51	09:26	09:56	10:26	10:56	11:26	11:56	12:26	12:59	13:36	14:09	14:44	15:16	15:53	16:28	17:01	17:31	18:06	18:36	18:51	19:26	20:06	20:41	21:11			
長田町-B	07:13	07:53	08:18	08:53	09:28	09:58	10:28	10:58	11:28	11:58	12:28	13:01	13:38	14:11	14:46	15:18	15:55	16:30	17:03	17:33	18:08	18:38	18:53	19:28	20:08	20:43	21:13			
長田一丁目-B	07:14	07:54	08:19	08:54	09:29	09:59	10:29	10:59	11:29	11:59	12:29	13:02	13:39	14:12	14:47	15:19	15:56	16:31	17:04	17:34	18:09	18:39	18:54	19:29	20:09	20:44	21:14			
中橋-B	07:16	07:56	08:21	08:56	09:31	10:01	10:31	11:01	11:31	12:01	12:31	13:04	13:41	14:14	14:49	15:21	15:58	16:33	17:06	17:36	18:11	18:41	18:56	19:31	20:11	20:46	21:16			
六枚町（こんや湯前）	07:17	07:57	08:22	08:57	09:33	10:03	10:33	11:03	11:33	12:03	12:33	13:06	13:43	14:16	14:51	15:23	16:00	16:35	17:08	17:38	18:13	18:43	18:58	19:32	20:12	20:47	21:17			
武蔵ヶ辻（近江町市場前）	07:19	07:59	08:24	08:59	09:35	10:05	10:35	11:05	11:35	12:05	12:35	13:08	13:45	14:18	14:53	15:25	16:02	16:37	17:10	17:40	18:15	18:45	19:00	19:34	20:14	20:49	21:19			
武蔵ヶ辻（三井住友銀行）	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
武蔵ヶ辻（横安江町）	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
南町-A	07:21	08:01	08:26	09:01	09:37	10:07	10:37	11:07	11:37	12:07	12:37	13:10	13:47	14:20	14:55	15:27	16:04	16:39	17:12	17:42	18:17	18:47	19:02	19:36	20:16	20:51	21:21			
香林坊（アトリオ前）	07:23	08:03	08:28	09:03	09:39	10:09	10:39	11:09	11:39	12:09	12:39	13:12	13:49	14:22	14:57	15:29	16:06	16:41	17:14	17:44	18:19	18:49	19:04	19:38	20:18	20:53	21:23			
香林坊（中央公園前）	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
片町（パシオン前）	07:24	08:04	08:29	09:04	09:41	10:11	10:41	11:11	11:41	12:11	12:41	13:14	13:51	14:24	14:59	15:31	16:08	16:43	17:16	17:46	18:21	18:51	19:06	19:39	20:19	20:54	21:24			
広小路（有松方向）	07:25	08:05	08:30	09:05	09:43	10:13	10:43	11:13	11:43	12:13	12:43	13:16	13:53	14:26	15:01	15:33	16:10	16:45	17:18	17:48	18:23	18:53	19:08	19:40	20:20	20:55	21:25			
野町-A	07:26	08:06	08:31	09:06	09:45	10:15	10:45	11:15	11:45	12:15	12:45	13:18	13:55	14:28	15:03	15:35	16:12	16:47	17:20	17:50	18:25	18:55	19:10	19:41	20:21	20:56	21:26			
泉一丁目-A	07:27	08:07	08:32	09:07	09:46	10:16	10:46	11:16	11:46	12:16	12:46	13:19	13:56	14:29	15:04	15:36	16:13	16:48	17:21	17:51	18:26	18:56	19:11	19:42	20:22	20:57	21:27			
泉二丁目-A	07:29	08:09	08:34	09:09	09:48	10:18	10:48	11:18	11:48	12:18	12:48	13:21	13:58	14:31	15:06	15:38	16:15	16:50	17:23	17:53	18:28	18:58	19:13	19:44	20:24	20:59	21:29			
有松（寺地方向）	07:31	08:11	08:36	09:11	09:50	10:20	10:50	11:20	11:50	12:20	12:50	13:23	14:00	14:33	15:08	15:40	16:17	16:52	17:25	17:55	18:30	19:00	19:15	19:46	20:26	21:01	21:31			
