始発停留所	門前-A	門前-A			
始発時間	08:15	18:25			
終点時間	09:20	19:30			
終点停留所	富来-D	富来-D			
備考					
門前-A	08:15	18:25			
立町-B	08:16	18:26			
総持寺前-B	08:17	18:27			
林業センター前-B	08:18	18:28			
勝田口-A	08:20	18:30			
東道下-B	08:21	18:31			
道下-B	08:22	18:32			
西道下-B	08:23	18:33			
道下栄町-B	08:24	18:34			
黒島-B	08:25	18:35			
南黒島-B	08:26	18:36			
大口-B	08:27	18:37			
北川-B	08:28	18:38			
池田-B	08:30	18:40			
藤の浜-B	08:31	18:41			
赤神-B	08:33	18:43			
腰細-B	08:35	18:45			
大泊-B	08:36	18:46			
剱地-B	08:38	18:48			
国民宿舎前	08:39	18:49			
黒崎岬	08:40	18:50			
関野-A	08:44	18:54			
前浜	08:46	18:56			
玄徳岬	08:47	18:57			
笹波-B	08:48	18:58			
鹿頭	08:50	19:00			
農協前	08:51	19:01			
鹿頭浜出-A	08:52	19:02			
小窪	08:53	19:03			
赤崎下出	08:54	19:04			
赤崎上出	08:55	19:05			
久喜	08:57	19:07			
千の浦-B	08:59	19:09			
滝出-B	09:01	19:11			
風無-B	09:02	19:12			
風戸-B	09:03	19:13			
文学碑前	09:04	19:14			
波濤園-A	09:06	19:16			
富来ふれあい温泉センター	09:07	19:17			
酒見龍護寺前	09:08	19:18			
酒見	09:09	19:19			
酒見東	09:10	19:20			
相神	09:11	19:21			
中浜-B	09:12	19:22			
里本江-A	09:14	19:24			
富来中学校口-B	09:15	19:25			
とぎ保育園前-B	09:16	19:26			
領家北-B	09:17	-			
領家南-B	09:18	-			
地頭町-A	09:19	-			
富来農協前-B	-	19:27			
領家口-B	-	19:28			
富来-D	09:20	19:30			
