始発停留所	門前-A				
始発時間	08:15				
終点時間	09:20				
終点停留所	富来-D				
備考					
門前-A	08:15				
立町-B	08:16				
総持寺前-B	08:17				
林業センター前-B	08:18				
勝田口-A	08:20				
東道下-B	08:21				
道下-B	08:22				
西道下-B	08:23				
道下栄町-B	08:24				
黒島-B	08:25				
南黒島-B	08:26				
大口-B	08:27				
北川-B	08:28				
池田-B	08:30				
藤の浜-B	08:31				
赤神-B	08:33				
腰細-B	08:35				
大泊-B	08:36				
剱地-B	08:38				
国民宿舎前	08:39				
黒崎岬	08:40				
関野-A	08:44				
前浜	08:46				
玄徳岬	08:47				
笹波-B	08:48				
鹿頭	08:50				
農協前	08:51				
鹿頭浜出-A	08:52				
小窪	08:53				
赤崎下出	08:54				
赤崎上出	08:55				
久喜	08:57				
千の浦-B	08:59				
滝出-B	09:01				
風無-B	09:02				
風戸-B	09:03				
文学碑前	09:04				
波濤園-A	09:06				
富来ふれあい温泉センター	09:07				
酒見龍護寺前	09:08				
酒見	09:09				
酒見東	09:10				
相神	09:11				
中浜-B	09:12				
里本江-A	09:14				
富来中学校口-B	09:15				
とぎ保育園前-B	09:16				
領家北-B	09:17				
領家南-B	09:18				
地頭町-A	09:19				
富来農協前-B	-				
領家口-B	-				
富来-D	09:20				
