始発停留所	大桑住宅-A	大桑住宅-A	大桑住宅-A	大桑住宅-A	大桑タウン-B	大桑タウン-B	大桑タウン-B	大桑タウン-B	大桑タウン-B	大桑タウン-B	大桑住宅-A	大桑住宅-A	大桑住宅-A	大桑住宅-A	大桑住宅-A	大桑住宅-A	大桑住宅-A			
始発時間	06:55	07:17	08:15	09:13	10:12	11:12	12:12	13:42	14:27	15:39	16:45	17:43	18:48	19:10	19:55	21:13	22:53			
終点時間	07:25	07:47	08:50	09:45	10:45	11:45	12:45	14:18	15:03	16:17	17:22	18:20	19:18	19:40	20:25	21:38	23:18			
終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】			
備考	ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス		ノンステップバス		ノンステップバス							
大桑タウン-B					10:12	11:12	12:12	13:42	14:27	15:39										
大桑住宅-A	06:55	07:17	08:15	09:13	10:13	11:13	12:13	13:43	14:28	15:40	16:45	17:43	18:48	19:10	19:55	21:13	22:53			
大桑-B	06:56	07:18	08:16	09:14	10:14	11:14	12:14	13:44	14:29	15:41	16:46	17:44	18:49	19:11	19:56	21:14	22:54			
野田（市内方向）	06:57	07:19	08:17	09:15	10:15	11:15	12:15	13:45	14:30	15:42	16:47	17:45	18:50	19:12	19:57	21:15	22:55			
金大附校自衛隊前-B	06:58	07:20	08:18	09:16	10:16	11:16	12:16	13:46	14:31	15:43	16:48	17:46	18:51	19:13	19:58	21:16	22:56			
平和町（金沢駅方向）	07:00	07:22	08:20	09:18	10:18	11:18	12:18	13:48	14:33	15:45	16:50	17:48	18:53	19:15	20:00	21:18	22:58			
十一屋-B	07:01	07:23	08:21	09:19	10:19	11:19	12:19	13:49	14:34	15:46	16:51	17:49	18:54	19:16	20:01	21:19	22:59			
寺町一丁目（広小路方向）	07:02	07:24	08:22	09:20	10:20	11:20	12:20	13:50	14:35	15:47	16:52	17:50	18:55	19:17	20:02	21:20	23:00			
寺町二丁目-B	07:03	07:25	08:23	09:21	10:21	11:21	12:21	13:51	14:36	15:48	16:53	17:51	18:56	19:18	20:03	21:21	23:01			
寺町三丁目-B	07:04	07:26	08:24	09:22	10:22	11:22	12:22	13:52	14:37	15:49	16:54	17:52	18:57	19:19	20:04	21:22	23:02			
広小路（平和町から）	07:06	07:28	08:26	09:24	10:24	11:24	12:24	13:54	14:39	15:51	16:56	17:54	18:59	19:21	20:06	21:23	23:03			
片町	07:09	07:31	08:29	09:27	10:27	11:27	12:27	13:57	14:42	15:54	16:59	17:57	19:02	19:24	20:09	21:26	23:06			
香林坊（日銀前）	07:11	07:33	08:32	09:30	10:30	11:30	12:30	14:00	14:45	15:57	17:02	18:00	19:05	19:27	20:12	21:29	23:09			
南町-B	07:13	07:35	08:34	09:32	10:32	11:32	12:32	14:02	14:47	15:59	17:04	18:02	19:07	19:29	20:14	21:31	23:11			
武蔵ヶ辻（ホリデイ・イン金沢前）	07:14	07:36	08:36	09:34	10:34	11:34	12:34	14:04	14:49	16:01	17:06	18:04	19:09	19:31	20:16	21:33	23:13			
六枚町（金沢駅ゆき）	07:16	07:38	08:39	09:37	10:37	11:37	12:37	14:07	14:52	16:04	17:09	18:07	19:12	19:34	20:19	21:36	23:16			
六枚町（ガスト前）	07:16	07:38	08:39	09:37	10:37	11:37	12:37	14:07	14:52	16:04	17:09	18:07	19:12	19:34	20:19	21:36	23:16			
金沢駅【降車場】	07:25	07:47	08:50	09:45	10:45	11:45	12:45	14:18	15:03	16:17	17:22	18:20	19:18	19:40	20:25	21:38	23:18			
