始発停留所	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】
始発時間	16:03	17:03	18:03	19:03	19:43
終点時間	16:42	17:42	18:33	19:30	20:10
終点停留所	大桑住宅-A	大桑住宅-A	大桑住宅-A	大桑住宅-A	大桑住宅-A
備考		ノンステップバス	ノンステップバス		ノンステップバス
金沢駅【７】	16:03	17:03	18:03	19:03	19:43
本町	16:06	17:06	18:05	19:05	19:45
武蔵ヶ辻（近江町市場前）	16:09	17:09	18:07	19:07	19:47
南町-A	16:11	17:11	18:09	19:09	19:49
香林坊（アトリオ前）	16:13	17:13	18:10	19:10	19:50
片町（パシオン前）	16:16	17:16	18:12	19:12	19:52
広小路（平和町方向）	16:19	17:19	18:14	19:14	19:54
寺町三丁目-A	16:21	17:21	18:16	19:16	19:56
寺町二丁目-A	16:22	17:22	18:17	19:17	19:57
寺町一丁目（平和町方向）	16:23	17:23	18:18	19:18	19:58
十一屋-A	16:24	17:24	18:19	19:19	19:59
平和町（アルコ前）	16:25	17:25	18:20	19:20	20:00
金大附校自衛隊前-A	16:26	17:26	18:21	19:21	20:01
野田（郊外方向）	16:27	17:27	18:22	19:22	20:02
大桑-A	16:29	17:29	18:24	19:24	20:04
大桑グランド前	16:30	17:30	18:25	19:25	20:05
大桑住宅-A	16:42	17:42	18:33	19:30	20:10
大桑住宅（大桑本町方向）					
大桑タウン-A					
