始発停留所	大谷-B				
始発時間	06:17				
終点時間	09:30				
終点停留所	兼六園下（北鉄車庫前）				
備考					
大谷-B	06:17				
片岩	06:22				
仁江-A	06:25				
垂水-B	06:28				
曽々木-B	06:30				
曽々木口-A	06:31				
町野-A	06:36				
長尾-A	06:43				
柳田-A	06:48				
柳田天坂-A	06:51				
柳田天坂-C	06:52				
寺分-B	06:54				
中斉-B	06:58				
桜峠-B	07:02				
能登空港	07:11				
精育園前-B	07:18				
此の木（８番ラーメン前）	07:24				
穴水駅前-D	07:29				
西山ＰＡ-A	08:06				
医大病院-B	08:45				
向陽台（清湖大橋方向）	08:49				
県庁前（中央病院側）	08:59				
駅西合庁前（西念南方向）	09:02				
金沢駅西口降車	09:14				
武蔵ヶ辻（三井住友銀行）	09:22				
香林坊（中央公園前）	09:25				
広坂（しいのき迎賓館前）	09:26				
兼六園下（北鉄車庫前）	09:30				
