始発停留所	高屋新保	飯田港	木の浦	飯田港	木の浦	木の浦	飯田港	飯田港		
始発時間	07:05	08:15	11:25	12:20	13:25	16:20	16:30	18:50		
終点時間	07:40	09:19	12:06	13:24	14:06	17:01	17:34	19:54		
終点停留所	曽々木口-A	町野-A	曽々木口-A	町野-A	曽々木口-A	曽々木口-A	町野-A	町野-A		
備考										
飯田港		08:15		12:20			16:30	18:50		
吾妻橋-A		08:16		12:21			16:31	18:51		
昭和橋		08:17		12:22			16:32	18:52		
すずなり館前-C		08:18		12:23			16:33	18:53		
珠洲市総合病院前-A		08:20		12:25			16:35	18:55		
飯田高校下		08:22		12:27			16:37	18:57		
飯田栄町北-C		08:24		12:29			16:39	18:59		
出田川辺-B		08:25		12:30			16:40	19:00		
出田		08:26		12:31			16:41	19:01		
鈴内口-B		08:27		12:32			16:42	19:02		
経念-B		08:28		12:33			16:43	19:03		
中田口-B		08:29		12:34			16:44	19:04		
古蔵-B		08:30		12:35			16:45	19:05		
火宮		08:31		12:36			16:46	19:06		
延武-B		08:33		12:38			16:48	19:08		
宇都山-B		08:34		12:39			16:49	19:09		
通伝		08:40		12:45			16:55	19:15		
則貞		08:44		12:49			16:59	19:19		
からす川		08:49		12:54			17:04	19:24		
木の浦		-	11:25	-	13:25	16:20	-	-		
徳保		-	11:28	-	13:28	16:23	-	-		
高屋新保	07:05	-	11:31	-	13:31	16:26	-	-		
思案崎-A	07:06	-	11:32	-	13:32	16:27	-	-		
高屋	07:07	-	11:33	-	13:33	16:28	-	-		
小浦出	07:08	-	11:34	-	13:34	16:29	-	-		
笹波口	07:10	-	11:36	-	13:36	16:31	-	-		
鰐崎	07:12	-	11:38	-	13:38	16:33	-	-		
馬緤	07:13	-	11:39	-	13:39	16:34	-	-		
梨山	07:14	-	11:40	-	13:40	16:35	-	-		
泊	07:15	-	11:41	-	13:41	16:36	-	-		
赤神-A	07:17	-	11:43	-	13:43	16:38	-	-		
大谷-B	07:19	08:51	11:45	12:56	13:45	16:40	17:06	19:26		
長橋-A	07:22	08:54	11:48	12:59	13:48	16:43	17:09	19:29		
赤島-A	07:25	08:57	11:51	13:02	13:51	16:46	17:12	19:32		
片岩	07:26	08:58	11:52	13:03	13:52	16:47	17:13	19:33		
清水-A	07:28	09:00	11:54	13:05	13:54	16:49	17:15	19:35		
仁江-A	07:30	09:02	11:56	13:07	13:56	16:51	17:17	19:37		
真浦	07:33	09:05	11:59	13:10	13:59	16:54	17:20	19:40		
垂水-B	07:35	09:07	12:01	13:12	14:01	16:56	17:22	19:42		
曽々木本町-B	07:37	09:09	12:03	13:14	14:03	16:58	17:24	19:44		
曽々木-B	07:39	09:11	12:05	13:16	14:05	17:00	17:26	19:46		
曽々木口-A	07:40	09:12	12:06	13:17	14:06	17:01	17:27	19:47		
下時国-A		09:13		13:18			17:28	19:48		
上時国-A		09:14		13:19			17:29	19:49		
敷戸-A		09:15		13:20			17:30	19:50		
寺地-A		09:16		13:21			17:31	19:51		
下広江-A		09:17		13:22			17:32	19:52		
広江-A		09:18		13:23			17:33	19:53		
町野-A		09:19		13:24			17:34	19:54		
