始発停留所	町野-B	町野-B	曽々木口-B	曽々木口-B	町野-B	曽々木口-B				
始発時間	07:00	09:40	09:50	12:35	13:40	15:35				
終点時間	08:04	10:44	10:31	13:16	14:44	16:16				
終点停留所	飯田港	飯田港	木の浦	木の浦	飯田港	木の浦				
備考										
町野-B	07:00	09:40			13:40					
広江-B	07:01	09:41			13:41					
下広江-B	07:02	09:42			13:42					
寺地-B	07:03	09:43			13:43					
敷戸-B	07:04	09:44			13:44					
上時国-B	07:05	09:45			13:45					
下時国-B	07:06	09:46			13:46					
曽々木口-B	07:07	09:47	09:50	12:35	13:47	15:35				
曽々木-A	07:08	09:48	09:51	12:36	13:48	15:36				
曽々木本町-A	07:10	09:50	09:53	12:38	13:50	15:38				
垂水-A	07:12	09:52	09:55	12:40	13:52	15:40				
真浦	07:14	09:54	09:57	12:42	13:54	15:42				
仁江-A	07:17	09:57	10:00	12:45	13:57	15:45				
清水-A	07:19	09:59	10:02	12:47	13:59	15:47				
片岩	07:21	10:01	10:04	12:49	14:01	15:49				
赤島-A	07:22	10:02	10:05	12:50	14:02	15:50				
長橋-A	07:25	10:05	10:08	12:53	14:05	15:53				
大谷-A	07:28	10:08	10:11	12:56	14:08	15:56				
赤神-A	-	-	10:13	12:58	-	15:58				
泊	-	-	10:15	13:00	-	16:00				
梨山	-	-	10:16	13:01	-	16:01				
馬緤	-	-	10:17	13:02	-	16:02				
鰐崎	-	-	10:18	13:03	-	16:03				
笹波口	-	-	10:20	13:05	-	16:05				
小浦出	-	-	10:22	13:07	-	16:07				
高屋	-	-	10:23	13:08	-	16:08				
思案崎-A	-	-	10:24	13:09	-	16:09				
高屋新保	-	-	10:25	13:10	-	16:10				
徳保	-	-	10:28	13:13	-	16:13				
木の浦	-	-	10:31	13:16	-	16:16				
からす川	07:30	10:10			14:10					
則貞	07:35	10:15			14:15					
通伝	07:39	10:19			14:19					
宇都山-A	07:45	10:25			14:25					
延武-A	07:46	10:26			14:26					
火宮	07:47	10:27			14:27					
古蔵-A	07:49	10:29			14:29					
中田口-A	07:50	10:30			14:30					
経念-A	07:51	10:31			14:31					
鈴内口-A	07:52	10:32			14:32					
出田	07:53	10:33			14:33					
出田川辺-A	07:54	10:34			14:34					
飯田栄町北-A	07:55	10:35			14:35					
飯田高校下	07:57	10:37			14:37					
珠洲市総合病院前-A	07:59	10:39			14:39					
すずなり館前-C	08:01	10:41			14:41					
昭和橋	08:02	10:42			14:42					
吾妻橋-B	08:03	10:43			14:43					
飯田港	08:04	10:44			14:44					
