始発停留所	鵜川駅前-C	宇出津駅前-A			
始発時間	06:40	15:45			
終点時間	08:04	17:04			
終点停留所	穴水総合病院-B	穴水駅前-B			
備考					
宇出津駅前-A		15:45			
宇出津病院前-B		15:46			
能登田町-B		15:47			
辺田の浜-B		15:48			
藤波駅口		15:49			
健民テニスコート前		15:50			
能登間島-B		15:51			
波並駅前-B		15:53			
三波		15:54			
矢波弁天-B		15:56			
なごみ-A		15:57			
能登七見		15:58			
能登桜木		15:59			
鵜川口-B		16:00			
鵜川駅前-C	06:40	-			
鵜川駅前-B	06:40	16:01			
小垣	06:41	16:02			
谷屋	06:43	16:04			
神道	06:44	16:05			
柿生	06:45	16:06			
八乃田	06:46	16:07			
町	06:47	16:08			
能登瑞穂-B	06:48	16:09			
山田	06:50	16:11			
上山田	06:51	16:12			
長竜寺	06:53	16:14			
魚地橋-A	06:54	16:15			
宮地	06:55	16:16			
宮地学校前	06:56	16:17			
堂坂橋	06:58	16:19			
下鮭尾	06:59	16:20			
上鮭尾	07:00	16:21			
柏木口	07:01	16:22			
太田原橋	07:04	16:25			
太田原	07:05	16:26			
能登柏木	07:09	16:30			
樟谷	07:13	16:34			
菅谷	07:15	16:36			
伊久留	07:18	16:39			
伊久留下	07:19	-			
藤住	07:22	-			
伊久留下	07:25	-			
伊久留	07:26	-			
能登木原	07:30	16:43			
木原公民館前	07:32	16:45			
藤巻	07:33	16:46			
堂地口	07:36	16:49			
柿ヶ原	07:37	16:50			
滝又	07:39	16:52			
梶	07:42	16:55			
下出-A	07:43	-			
中居北口-A	07:44	-			
中居南口-A	07:45	-			
向洋小学校-B	07:47	-			
中居南口-B	07:49	-			
中居北口-B	07:50	-			
下出-B	07:51	-			
下出-C	-	16:56			
麦ヶ浦-B	07:53	16:58			
北七海-A	07:54	16:59			
栄町-D	07:56	17:01			
大島町-B	07:57	17:02			
大町-B	07:58	17:03			
穴水駅前-A	07:59	-			
東町-A	08:01	-			
穴水総合病院-B	08:04	-			
穴水駅前-B		17:04			
