始発停留所	能登高校南	能登高校南	能登高校南	能登高校南	能登高校南
始発時間	15:25	17:00	17:41	18:33	19:20
終点時間	16:15	17:50	19:20	19:23	20:39
終点停留所	松波城址公園口-A	松波城址公園口-A	珠洲鉢ケ崎	松波城址公園口-A	飯田栄町
備考					
能登高校南	15:25	17:00	17:41	18:33	19:20
崎山-A	-	17:02	-	-	-
辺田の浜-B	15:27	-	17:43	18:35	19:22
能登田町-A	15:28	17:03	17:44	18:36	19:23
宇出津病院前-A	15:29	17:04	17:45	18:37	19:24
宇出津駅前-A	15:30	17:05	17:46	18:38	19:25
宇出津病院前-B	15:31	17:06	17:47	18:39	19:26
新村浜	15:32	17:07	17:48	18:40	19:27
遠島山公園下	15:33	17:08	17:49	18:41	19:28
田の浦	15:34	17:09	17:50	18:42	19:29
羽根漁港	15:37	17:12	17:53	18:45	19:32
本小浦	15:40	17:15	17:56	18:48	19:35
真脇	15:43	17:18	17:59	18:51	19:38
縄文真脇温泉口	15:45	17:20	18:01	18:53	19:40
姫中組	15:46	17:21	18:02	18:54	19:41
姫上野台	15:48	17:23	18:04	18:56	19:43
姫幸港口	15:49	17:24	18:05	18:57	19:44
高瀬口	15:50	17:25	18:06	18:58	19:45
小木町	15:52	17:27	18:08	19:00	19:47
小木港	15:53	17:28	18:09	19:01	19:48
九十九岸	15:54	17:29	18:10	19:02	19:49
金大実験所口	15:55	17:30	18:11	19:03	19:50
九十九湾	15:56	17:31	18:12	19:04	19:51
勤労者プラザ前	15:57	17:32	18:13	19:05	19:52
越坂口	15:59	17:34	18:15	19:07	19:54
越坂	16:00	17:35	18:16	19:08	19:55
能登新保	16:01	17:36	18:17	19:09	19:56
五色ヶ浜	16:02	17:37	18:18	19:10	19:57
長尾	16:03	17:38	18:19	19:11	19:58
新村	16:04	17:39	18:20	19:12	19:59
能登宮崎	16:05	17:40	18:21	19:13	20:00
立壁口	16:07	17:42	18:23	19:15	20:02
九里川尻	16:09	17:44	18:25	19:17	20:04
九ノ里薬師寺前	16:10	17:45	18:26	19:18	20:05
松波中学校前	16:12	17:47	18:28	19:20	20:07
内浦庁舎前	16:13	17:48	18:29	19:21	20:08
松波本町-A	16:14	17:49	18:30	19:22	20:09
松波城址公園口-A	16:15	17:50	18:31	19:23	20:10
技術専門校前-A			18:32		20:11
南恋路-A			18:34		20:13
恋路浜-A			18:36		20:15
宗玄			18:37		20:16
本鵜島			18:38		20:17
船橋			18:39		20:18
黒丸			18:40		20:19
宝立小学校前-A			18:42		20:21
南鵜飼			18:43		20:22
鵜飼駅前			18:45		20:24
鵜飼本町-B			18:46		20:25
春日野-A			18:47		20:26
盤若橋-A			18:48		20:27
谷崎-B			18:49		20:28
竹中橋-A			18:50		20:29
上戸農協前-A			18:52		20:31
善慶寺前-A			18:53		20:32
北方-B			18:54		20:33
南町-A			18:56		20:35
能登飯田-B			18:58		20:37
吾妻橋-A			18:59		20:38
飯田栄町			19:00		20:39
飯田栄町北-B			19:01		
飯田高校下			19:03		
珠洲市総合病院前-A			19:05		
島田			19:06		
勝楽寺前			19:07		
野々江			19:08		
熊谷			19:09		
正院西口-A			19:10		
正院-A			19:11		
前浜			19:12		
珠洲川尻-A			19:13		
弁天公園前-A			19:15		
本蛸島-A			19:16		
蛸島本町			19:17		
旭町-A			19:18		
りふれっしゅ村			19:19		
珠洲鉢ケ崎			19:20		
