始発停留所	宇出津駅前-A	宇出津駅前-A	能登高校南	能登高校南	能登高校南	能登高校南				
始発時間	08:50	10:50	11:40	15:25	17:00	17:41				
終点時間	10:08	12:24	12:30	16:15	17:50	19:20				
終点停留所	珠洲市総合病院前-A	珠洲鉢ケ崎	松波城址公園口-A	松波城址公園口-A	松波城址公園口-A	珠洲鉢ケ崎				
備考										
能登高校南			11:40	15:25	17:00	17:41				
崎山-A			-	-	17:02	-				
辺田の浜-B			11:42	15:27	-	17:43				
能登田町-A			11:43	15:28	17:03	17:44				
宇出津病院前-A			11:44	15:29	17:04	17:45				
宇出津駅前-A	08:50	10:50	11:45	15:30	17:05	17:46				
宇出津病院前-B	08:51	10:51	11:46	15:31	17:06	17:47				
新村浜	08:52	10:52	11:47	15:32	17:07	17:48				
遠島山公園下	08:53	10:53	11:48	15:33	17:08	17:49				
田の浦	08:54	10:54	11:49	15:34	17:09	17:50				
羽根漁港	08:57	10:57	11:52	15:37	17:12	17:53				
本小浦	09:00	11:00	11:55	15:40	17:15	17:56				
真脇	09:02	11:03	11:58	15:43	17:18	17:59				
縄文真脇温泉口	09:04	11:05	12:00	15:45	17:20	18:01				
姫中組	09:05	11:06	12:01	15:46	17:21	18:02				
姫上野台	09:07	11:08	12:03	15:48	17:23	18:04				
姫幸港口	09:08	11:09	12:04	15:49	17:24	18:05				
高瀬口	09:09	11:10	12:05	15:50	17:25	18:06				
小木町	09:11	11:12	12:07	15:52	17:27	18:08				
小木港	09:12	11:13	12:08	15:53	17:28	18:09				
九十九岸	09:13	11:14	12:09	15:54	17:29	18:10				
金大実験所口	09:14	11:15	12:10	15:55	17:30	18:11				
九十九湾	09:15	11:16	12:11	15:56	17:31	18:12				
勤労者プラザ前	09:16	11:17	12:12	15:57	17:32	18:13				
越坂口	09:18	11:19	12:14	15:59	17:34	18:15				
越坂	09:19	11:20	12:15	16:00	17:35	18:16				
能登新保	09:20	11:21	12:16	16:01	17:36	18:17				
五色ヶ浜	09:21	11:22	12:17	16:02	17:37	18:18				
長尾	09:22	11:23	12:18	16:03	17:38	18:19				
新村	09:23	11:24	12:19	16:04	17:39	18:20				
能登宮崎	09:24	11:25	12:20	16:05	17:40	18:21				
立壁口	09:26	11:27	12:22	16:07	17:42	18:23				
九里川尻	09:28	11:29	12:24	16:09	17:44	18:25				
九ノ里薬師寺前	09:29	11:30	12:25	16:10	17:45	18:26				
松波中学校前	09:31	11:32	12:27	16:12	17:47	18:28				
内浦庁舎前	09:32	11:33	12:28	16:13	17:48	18:29				
松波本町-A	09:33	11:34	12:29	16:14	17:49	18:30				
松波城址公園口-A	09:34	11:35	12:30	16:15	17:50	18:31				
技術専門校前-A	09:35	11:36				18:32				
南恋路-A	09:37	11:38				18:34				
恋路浜-A	09:39	11:40				18:36				
宗玄	09:40	11:41				18:37				
本鵜島	09:41	11:42				18:38				
船橋	09:42	11:43				18:39				
黒丸	09:43	11:44				18:40				
宝立小学校前-A	09:45	11:46				18:42				
南鵜飼	09:46	11:47				18:43				
鵜飼駅前	09:48	11:49				18:45				
鵜飼本町-B	09:49	11:50				18:46				
春日野-A	09:50	11:51				18:47				
盤若橋-A	09:51	11:52				18:48				
谷崎-B	09:52	11:53				18:49				
竹中橋-A	09:53	11:54				18:50				
上戸農協前-A	09:55	11:56				18:52				
善慶寺前-A	09:56	11:57				18:53				
北方-B	09:57	11:58				18:54				
南町-A	09:59	12:00				18:56				
能登飯田-B	10:01	12:02				18:58				
吾妻橋-A	10:02	12:03				18:59				
飯田栄町	10:03	12:04				19:00				
飯田栄町北-B	10:04	12:05				19:01				
飯田高校下	10:06	12:07				19:03				
珠洲市総合病院前-A	10:08	12:09				19:05				
島田		12:10				19:06				
勝楽寺前		12:11				19:07				
野々江		12:12				19:08				
熊谷		12:13				19:09				
正院西口-A		12:14				19:10				
正院-A		12:15				19:11				
前浜		12:16				19:12				
珠洲川尻-A		12:17				19:13				
弁天公園前-A		12:19				19:15				
本蛸島-A		12:20				19:16				
蛸島本町		12:21				19:17				
旭町-A		12:22				19:18				
りふれっしゅ村		12:23				19:19				
珠洲鉢ケ崎		12:24				19:20				
