始発停留所	珠洲鉢ケ崎				
始発時間	06:56				
終点時間	08:12				
終点停留所	能登高校南				
備考					
珠洲鉢ケ崎	06:56				
りふれっしゅ村	06:57				
旭町-B	06:58				
蛸島本町	06:59				
本蛸島-B	07:00				
弁天公園前-B	07:01				
珠洲川尻-B	07:03				
前浜	07:04				
正院-B	07:05				
正院西口-B	07:06				
熊谷	07:07				
野々江	07:08				
勝楽寺前	07:09				
島田	07:10				
珠洲市総合病院前-A	07:11				
飯田高校下	07:13				
飯田栄町北-C	07:15				
飯田栄町	07:16				
吾妻橋-B	07:17				
能登飯田-A	07:18				
南町-A	07:20				
北方-B	07:22				
善慶寺前-A	07:23				
上戸農協前-A	07:24				
竹中橋-A	07:26				
谷崎-B	07:27				
盤若橋-B	07:28				
春日野-A	07:29				
鵜飼本町-B	07:30				
鵜飼駅前	07:31				
南鵜飼	07:33				
宝立小学校前-B	07:34				
黒丸	07:36				
船橋	07:37				
本鵜島	07:38				
宗玄	07:39				
恋路浜-B	07:40				
南恋路-B	07:42				
技術専門校前-B	07:44				
松波城址公園口-B	07:45				
松波本町-B	07:46				
西松波	07:47				
能登上	07:49				
内浦サンケン前	07:50				
宮犬	07:52				
能登不動寺-B	07:54				
時長	07:57				
能登山中	07:59				
十八束	08:01				
山分	08:05				
宇出津病院前-A	08:06				
宇出津駅前-A	08:07				
宇出津病院前-B	08:08				
能登田町-B	08:09				
辺田の浜-B	08:10				
能登高校南	08:12				
