始発停留所	すずなり館前-C	すずなり館前-C			
始発時間	06:33	14:51			
終点時間	10:18	18:14			
終点停留所	兼六園下（北鉄車庫前）	金沢駅西口降車			
備考					
すずなり館前-C	06:33	14:51			
珠洲市役所前	06:36	14:54			
南鵜飼	06:43	15:01			
本鵜島	06:48	15:06			
恋路浜-B	06:50	15:08			
内浦庁舎前	06:55	15:13			
能登宮崎	07:00	15:18			
越坂	07:06	15:24			
九十九湾	07:09	15:27			
小木港	07:11	15:29			
縄文真脇温泉口	07:17	15:35			
本小浦	07:20	15:38			
羽根漁港	07:23	15:41			
遠島山公園下	07:26	15:44			
能登町役場前	07:28	15:46			
宇出津駅前-B	07:30	15:48			
波並駅前-B	07:37	-			
鵜川口-B	07:43	-			
小垣	07:44	-			
神道	07:46	-			
能登瑞穂-B	07:49	-			
比良	08:01	-			
下出-B	08:05	-			
長坂	-	15:53			
柳田上町-B	-	15:56			
柳田天坂-C	-	15:58			
寺分-B	-	16:00			
中斉-B	-	16:04			
桜峠-B	-	16:08			
能登空港	-	16:17			
洲衛-C	-	-			
精育園前-B	-	16:24			
此の木（８番ラーメン前）	-	16:30			
穴水駅前-D	08:15	-			
此の木（ガソリンスタンド前）	08:20	-			
西山ＰＡ-A	08:52	17:02			
医大病院-B	09:33	17:43			
向陽台（清湖大橋方向）	09:37	17:47			
県庁前（中央病院側）	09:47	17:57			
駅西合庁前（西念南方向）	09:50	18:00			
金沢駅西口降車	10:02	18:14			
武蔵ヶ辻（三井住友銀行）	10:10				
香林坊（中央公園前）	10:13				
広坂（しいのき迎賓館前）	10:14				
兼六園下（北鉄車庫前）	10:18				
