始発停留所	すずなり館前-C	すずなり館前-C			
始発時間	06:40	14:51			
終点時間	10:09	18:14			
終点停留所	金沢駅西口降車	金沢駅西口降車			
備考					
すずなり館前-C	06:40	14:51			
珠洲市役所前	06:43	14:54			
南鵜飼	06:50	15:01			
本鵜島	06:55	15:06			
恋路浜-B	06:57	15:08			
内浦庁舎前	07:02	15:13			
能登宮崎	07:07	15:18			
越坂	07:13	15:24			
九十九湾	07:16	15:27			
小木港	07:18	15:29			
縄文真脇温泉口	07:24	15:35			
本小浦	07:27	15:38			
羽根漁港	07:30	15:41			
遠島山公園下	07:33	15:44			
能登町役場前	07:35	15:46			
宇出津駅前-B	07:37	15:48			
波並駅前-B	07:44	-			
鵜川口-B	07:50	-			
小垣	07:51	-			
神道	07:53	-			
能登瑞穂-B	07:56	-			
比良	08:08	-			
下出-B	08:12	-			
長坂	-	15:53			
柳田上町-B	-	15:56			
柳田天坂-C	-	15:58			
寺分-B	-	16:00			
中斉-B	-	16:04			
桜峠-B	-	16:08			
能登空港	-	16:17			
洲衛-C	-	-			
精育園前-B	-	16:24			
此の木（８番ラーメン前）	-	16:30			
穴水駅前-D	08:22	-			
此の木（ガソリンスタンド前）	08:27	-			
西山ＰＡ-A	08:59	17:02			
医大病院-B	09:40	17:43			
向陽台（清湖大橋方向）	09:44	17:47			
県庁前（中央病院側）	09:54	17:57			
駅西合庁前（西念南方向）	09:57	18:00			
金沢駅西口降車	10:09	18:14			
武蔵ヶ辻（三井住友銀行前）					
香林坊（中央公園前）					
広坂（しいのき迎賓館前）					
兼六園下（北鉄車庫前）					
