始発停留所	みどり二丁目-B	安原工業団地中央-A	松島（松島北から）	神野町-A	神野町-A	みどり二丁目-B	倉部-B	松島（松島北から）	みどり二丁目-B	神野町-A	安原工業団地中央-A	神野町-A	打木-B	神野町-A	みどり二丁目-B	神野町-A	みどり二丁目-B	神野町-A	みどり二丁目-B	打木-B	神野町-A	みどり二丁目-B	神野町-A	神野町-A	打木-B	神野町-A	みどり二丁目-B	神野町-A	神野町-A	倉部-B	打木-B	神野町-A	みどり二丁目-B	神野町-A	みどり二丁目-B	神野町-A	みどり二丁目-B	倉部-B	神野町-A	打木-B	神野町-A	神野町-A	打木-B	倉部-B	神野町-A	打木-B	神野町-A	神野町-A	打木-B	神野町-A	神野町-A	神野町-A	神野町-A		
始発時間	06:30	06:37	07:05	07:05	07:05	07:05	07:15	07:20	07:20	07:25	07:35	07:50	08:07	08:11	08:30	08:30	08:50	09:00	09:05	09:47	09:50	10:15	10:20	11:00	11:48	11:50	12:28	12:30	13:00	13:38	14:03	14:15	14:50	15:00	15:40	15:50	16:25	16:47	16:55	17:08	17:15	17:45	17:58	18:30	18:30	18:43	18:45	19:50	19:53	20:20	20:55	21:45	22:05		
終点時間	07:05	07:08	07:40	07:49	08:05	07:55	08:05	07:55	08:05	08:14	08:26	08:50	08:57	09:11	09:13	09:25	09:33	09:53	09:43	10:27	10:43	10:53	11:13	11:53	12:28	12:43	13:06	13:23	13:53	14:28	14:43	15:08	15:28	15:53	16:18	16:43	17:03	17:37	17:48	17:53	18:08	18:38	18:43	19:15	18:46	19:23	19:33	19:58	20:33	21:00	21:03	21:53	22:13		
終点停留所	金沢駅【降車場】	香林坊（中央公園前）	金沢駅【降車場】	金沢駅【降車場】	星稜高校（駐車場内）	金大附校自衛隊前-B	金沢駅【降車場】	金沢駅【降車場】	錦町（降車場）	小立野-A	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	二塚（市内方向）	金沢駅【降車場】	金沢駅【降車場】	二塚（市内方向）	金沢駅【降車場】	金沢駅【降車場】	二塚（市内方向）	二塚（市内方向）	二塚（市内方向）		
備考	ノンステップバス	ノンステップバス		学期休み期間のみ運行	学期休み期間、運休
ノンステップバス	学期休み期間、運休
ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス			ノンステップバス	ノンステップバス	ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス		
倉部-B							07:15																							13:38								16:47						18:30											
一塚-A							07:16																							13:39								16:48						18:31											
八田							07:17																							13:40								16:49						18:32											
八田中							07:18																							13:41								16:50						18:33											
八田中口							07:19																							13:42								16:51						18:34											
下福増							07:20																							13:43								16:52						18:35											
中屋							07:21																							13:44								16:53						18:36											
神野町-A				07:05	07:05		-			07:25		07:50		08:11		08:30		09:00			09:50		10:20	11:00		11:50		12:30	13:00	-		14:15		15:00		15:50		-	16:55		17:15	17:45		-	18:30		18:45	19:50		20:20	20:55	21:45	22:05		
上安原-B				07:07	07:07		07:22			07:27		07:52		08:13		08:32		09:02			09:52		10:22	11:02		11:52		12:32	13:02	13:45		14:17		15:02		15:52		16:54	16:57		17:17	17:47		18:37	18:32		18:47	19:51		20:22	20:56	21:46	22:06		
尾山台高校-B				07:08	07:08		07:23			07:28		07:53		08:14		08:33		09:03			09:53		10:23	11:03		11:53		12:33	13:03	13:46		14:18		15:03		15:53		16:55	16:58		17:18	17:48		18:38	18:33		18:48	19:52		20:23	20:57	21:47	22:07		
安原工業団地中央-A		06:37		-	-		-			-	07:35	-		-		-		-			-		-	-		-		-	-	-		-		-		-		-	-		-	-		-	-		-	-		-	-	-	-		
安原工業団地南口-A		06:37		-	-		-			-	07:35	-		-		-		-			-		-	-		-		-	-	-		-		-		-		-	-		-	-		-	-		-	-		-	-	-	-		
打木南口-A		06:39		-	-		-			-	07:37	-		-		-		-			-		-	-		-		-	-	-		-		-		-		-	-		-	-		-	-		-	-		-	-	-	-		
打木-B		06:40		-	-		-			-	07:38	-	08:07	-		-		-		09:47	-		-	-	11:48	-		-	-	-	14:03	-		-		-		-	-	17:08	-	-	17:58	-	-	18:43	-	-	19:53	-	-	-	-		
安原工業団地北口-B		06:41		-	-		-			-	07:39	-	08:08	-		-		-		09:48	-		-	-	11:49	-		-	-	-	14:04	-		-		-		-	-	17:09	-	-	17:59	-	-	18:44	-	-	19:54	-	-	-	-		
福増北口-A		06:42		-	-		-			-	07:40	-	08:09	-		-		-		09:49	-		-	-	11:50	-		-	-	-	14:05	-		-		-		-	-	17:10	-	-	18:00	-	-	18:45	-	-	19:55	-	-	-	-		
