始発停留所	金沢駅【１１】	金沢駅【１１】			
始発時間	20:45	21:15			
終点時間	21:25	21:53			
終点停留所	打木-B	神野町-A			
備考	ノンステップバス	ノンステップバス			
平和町（柳橋方向）					
十一屋-B					
寺町一丁目（広小路方向）					
寺町二丁目-B					
寺町三丁目-B					
広小路（平和町から）					
西割出-B					
三浦住宅前-B					
南新保口-B					
上諸江-B					
諸江町小学校前-B					
北安江-B					
金沢駅東通り-B					
金沢駅【降車場】					
金沢駅【１１】	20:45	21:15			
リファーレ前-A	20:47	21:17			
武蔵ヶ辻（近江町市場前）	20:49	21:19			
武蔵ヶ辻（三井住友銀行前）	-	-			
南町-A	20:50	21:20			
香林坊（アトリオ前）	20:52	21:22			
香林坊（中央公園前）	-	-			
片町中央通り-A	-	21:26			
長町-A	-	21:28			
富本町（増泉方向）	-	21:29			
御影町-A	-	21:31			
本江町-A	-	21:33			
入江-A	-	21:35			
米丸住宅-A	-	21:36			
間明-A	-	21:37			
高畠町-A	-	21:38			
古府-A	-	21:39			
片町（パシオン前）	20:55	-			
白菊町-A	20:57	-			
増泉一丁目-A	20:58	-			
増泉（新神田方向）	21:00	-			
新神田（古府方向）	21:02	-			
米丸学校前（新神田から）	21:04	-			
間明二丁目-A	21:05	-			
古府南-A	21:06	-			
松島（神野町方向）	-	21:41			
神野町-A	-	21:45			
松島（松島北方向）	21:07	-			
松島北-A	21:09	-			
ＪＡ二塚支店前（みどり方向）	21:10	-			
二塚（みどり方向）	21:11	-			
みどり一丁目（郊外方向）	21:12	-			
みどり中央（郊外方向）	21:13	-			
みどり二丁目-B	-	-			
安原保育園前-B	21:14	-			
福増北口-A	21:15	-			
安原工業団地北口-A	21:16	-			
安原工業団地中央-A	21:17	-			
安原工業団地南口-A	21:18	-			
打木南口-A	21:19	-			
打木-B	21:25	-			
尾山台高校-A		-			
上安原-A		-			
中屋		-			
下福増		-			
八田中口		-			
八田中		-			
八田		-			
一塚-A		-			
倉部-A		-			
