始発停留所	金沢駅【１１】	金沢駅【１１】	金沢駅【１１】	金沢駅【１１】	金沢駅【１１】	金沢駅【１１】	金沢駅【１１】	金沢駅【１１】	金沢駅【１１】	金沢駅【１１】	金沢駅【１１】	金沢駅【１１】	金沢駅【１１】	金沢駅【１１】	金沢駅【１１】	金沢駅【１１】	金沢駅【１１】	金沢駅【１１】	金沢駅【１１】	金沢駅【１１】	金沢駅【１１】	金沢駅【１１】	金沢駅【１１】	金沢駅【１１】	金沢駅【１１】	金沢駅【１１】	金沢駅【１１】	金沢駅【１１】	金沢駅【１１】	金沢駅【１１】	金沢駅【１１】				
始発時間	07:05	07:15	07:40	08:00	08:15	09:15	09:30	09:50	10:30	10:45	11:20	11:45	12:15	12:45	13:15	13:50	14:05	14:30	15:00	15:20	15:50	16:15	16:30	17:15	17:35	18:20	18:40	19:05	19:50	20:45	21:15				
終点時間	07:37	07:55	08:12	08:53	08:47	09:47	10:08	10:22	11:02	11:28	11:52	12:23	12:47	13:35	13:58	14:22	14:43	15:02	15:38	15:52	16:22	17:03	17:20	17:47	18:23	18:52	19:25	19:48	20:22	21:25	21:53				
終点停留所	神野町-A	打木-B	神野町-A	打木-B	神野町-A	神野町-A	みどり二丁目-B	神野町-A	神野町-A	打木-B	神野町-A	みどり二丁目-B	神野町-A	倉部-A	打木-B	神野町-A	みどり二丁目-B	神野町-A	みどり二丁目-B	神野町-A	神野町-A	打木-B	倉部-A	神野町-A	打木-B	神野町-A	倉部-A	打木-B	神野町-A	打木-B	神野町-A				
備考	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス				
平和町（柳橋方向）																																			
十一屋-B																																			
寺町一丁目（広小路方向）																																			
寺町二丁目-B																																			
寺町三丁目-B																																			
広小路（平和町から）																																			
西割出-B																																			
三浦住宅前-B																																			
南新保口-B																																			
上諸江-B																																			
諸江町小学校前-B																																			
北安江-B																																			
