始発停留所	羽咋駅前-A	羽咋駅前-A	羽咋駅前-A		
始発時間	17:40	18:25	19:30		
終点時間	18:50	19:35	20:33		
終点停留所	富来-E	富来-E	富来-E		
備考					
羽咋駅前-A	17:40	18:25	19:30		
市役所前-A	17:41	18:26	19:31		
羽咋小学校前-A	17:42	18:27	19:32		
羽咋中央-A	17:43	18:28	19:33		
羽咋大橋-A	17:45	18:30	19:35		
工業高校前-A	17:47	18:32	19:36		
釜屋新保-A	17:48	18:33	19:37		
猫の目-A	17:50	18:35	19:39		
一の宮-A	17:52	18:37	19:40		
滝-A	17:54	18:39	19:42		
西北台小学校前-A	17:56	18:41	19:44		
三軒茶屋-A	17:57	18:42	19:45		
本成寺口-A	17:58	18:43	19:46		
柴垣-A	17:59	18:44	19:47		
滝谷口-A	18:00	18:45	19:48		
妙成寺口-A	18:01	18:46	19:49		
甘田-A	18:03	18:48	19:51		
大島キャンプ場口-A	18:05	18:50	19:52		
大島-A	18:07	18:52	19:54		
長沢-A	18:09	18:54	19:55		
大念寺-A	18:11	18:56	19:57		
高浜-D	18:14	18:59	19:59		
末吉-A	18:16	19:01	20:01		
清水-A	18:17	19:02	20:02		
堀松南-A	18:18	19:03	20:03		
大笹-A	18:22	19:07	20:07		
牛首-A	18:24	19:09	20:09		
米町-A	18:26	19:11	20:11		
松の木-A	18:28	19:13	20:13		
直海-A	18:29	19:14	20:14		
長田口	18:30	19:15	20:15		
豊後名-A	18:32	19:17	20:17		
三明-A	18:33	19:18	20:18		
谷神-A	18:35	19:20	20:20		
荒屋-A	18:37	19:22	20:21		
牛下-A	18:43	19:28	20:26		
生神-A	18:45	19:30	20:28		
七海-A	18:47	19:32	20:30		
領家口-A	-	-	-		
富来-E	18:50	19:35	20:33		
