始発停留所	緑ケ丘十丁目-B	緑ケ丘十丁目-B	緑ケ丘十丁目-B	緑ケ丘十丁目-B	緑ケ丘十丁目-B
始発時間	06:42	09:00	11:45	15:10	17:05
終点時間	07:18	09:36	12:21	15:46	17:41
終点停留所	松任駅前	松任駅前	松任駅前	松任駅前	松任駅前
備考					
いしかわ動物園					
緑ケ丘十丁目-B	06:42	09:00	11:45	15:10	17:05
緑ケ丘九丁目-B	06:43	09:01	11:46	15:11	17:06
辰口ハイタウン-B	06:44	09:02	11:47	15:12	17:07
緑ケ丘四丁目-B	06:45	09:03	11:48	15:13	17:08
緑ケ丘一丁目-B	06:46	09:04	11:49	15:14	17:09
辰口丘陵公園口-B	06:47	09:05	11:50	15:15	17:10
辰口温泉	06:48	09:06	11:51	15:16	17:11
辰口-B	06:49	09:07	11:52	15:17	17:12
倉重（出口）	06:50	09:08	11:53	15:18	17:13
出口-B	06:51	09:09	11:54	15:19	17:14
山田先出-B	06:53	09:11	11:56	15:21	17:16
一ツ屋	06:54	09:12	11:57	15:22	17:17
川北温泉	06:55	09:13	11:58	15:23	17:18
川北小学校前	06:56	09:14	11:59	15:24	17:19
草深-B	06:58	09:16	12:01	15:26	17:21
寄新保-A	07:00	09:18	12:03	15:28	17:23
城南橋-B	07:01	09:19	12:04	15:29	17:24
安吉-B	07:02	09:20	12:05	15:30	17:25
剣崎-B	07:04	09:22	12:07	15:32	17:27
平松-A	07:06	09:24	12:09	15:34	17:29
開発-B	07:07	09:25	12:10	15:35	17:30
松任中央病院-A	07:09	09:27	12:12	15:37	17:32
総合運動公園東口-B	07:10	09:28	12:13	15:38	17:33
白山市役所前-B	07:11	09:29	12:14	15:39	17:34
松任合庁前-B	07:12	09:30	12:15	15:40	17:35
蕪城通り-B	07:13	09:31	12:16	15:41	17:36
広小路（松任）-B	07:14	09:32	12:17	15:42	17:37
松任（松任広小路方向）	07:15	09:33	12:18	15:43	17:38
松任駅前	07:18	09:36	12:21	15:46	17:41
