始発停留所	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	
始発時間	08:40	10:45	12:32	14:55	
終点時間	09:20	11:27	13:14	15:40	
終点停留所	鶴寿園	鶴寿園	四十万-A	鶴寿園	
備考				ノンステップバス	
香林坊（中央公園前）					
広坂（石浦神社前）					
本多町-A					
幸町-A					
思案橋-A					
金沢大学-B	08:40	10:45	12:32	14:55	
金沢大学中央-B	08:41	10:46	12:33	14:56	
金沢大学自然研前	-	10:48	12:35	14:58	
金沢大学角間口-B	08:42	10:49	12:36	14:59	
角間新町-B	08:42	10:50	12:37	15:00	
若松（やまや前）	08:43	10:52	12:39	15:02	
若松西-B	08:44	10:53	12:40	15:03	
若松橋-B	08:45	10:54	12:41	15:04	
旭町（市内方向）	08:48	10:55	12:42	15:05	
旭町口-B	08:49	10:56	12:43	15:06	
田井町-B	08:50	10:57	12:44	15:07	
如来寺前（旭町から）	08:52	10:59	12:46	15:09	
石引二丁目-A	08:53	11:00	12:47	15:10	
笠舞三丁目-A	08:54	11:01	12:48	15:11	
猿丸神社前（寺町方向）	08:55	11:02	12:49	15:12	
菊川一丁目-A	08:56	11:03	12:50	15:13	
寺町一丁目（猿丸神社前から）	08:58	11:05	12:52	15:15	
十一屋-A	08:59	11:06	12:53	15:16	
平和町（長坂方向）	09:00	11:07	12:54	15:18	
二水高校前-B	09:01	11:08	12:55	15:19	
長坂台-A	09:02	11:09	12:56	15:20	
伏見新町-A	09:03	11:10	12:57	15:21	
円光寺北-A	09:04	11:11	12:58	15:22	
伏見台（郊外方向）	09:05	11:12	12:59	15:23	
錦丘高校前（四十万方向）	09:06	11:13	13:00	15:24	
伏見台小学校-A	09:07	11:14	13:01	15:25	
高尾台一丁目-A	09:08	11:15	13:02	15:26	
扇台小学校前-A	09:10	11:17	13:04	15:28	
光が丘口（四十万方向）	09:11	11:18	13:05	15:29	
大額二丁目-A	09:12	11:19	13:06	15:30	
大額三丁目-A	09:13	11:20	13:07	15:31	
額谷一丁目-A	09:14	11:21	-	15:32	
鶴寿園	09:20	11:27	-	15:40	
額中学校前-A			13:08		
しじま台-A			13:09		
四十万-A			13:14		
