始発停留所	能登部駅前	能登部駅前	能登部駅前	能登部駅前	
始発時間	07:30	13:00	16:35	18:40	
終点時間	07:55	13:25	17:00	19:05	
終点停留所	高浜-E	高浜-E	高浜-E	高浜-E	
備考					
能登部駅前	07:30	13:00	16:35	18:40	
徳丸	07:32	13:02	16:37	18:42	
下後山	07:35	13:05	16:40	18:45	
上後山	07:36	13:06	16:41	18:46	
東谷内	07:39	13:09	16:44	18:49	
中村	07:40	13:10	16:45	18:50	
上棚	07:41	13:11	16:46	18:51	
二所宮	07:43	13:13	16:48	18:53	
下甘田保育所前	07:45	13:15	16:50	18:55	
雨谷	07:47	13:17	16:52	18:57	
福井口	07:48	13:18	16:53	18:58	
志賀やすらぎ荘前-B	07:49	13:19	16:54	18:59	
宿女	07:50	13:20	16:55	19:00	
大島入口	07:51	13:21	16:56	19:01	
福野	07:52	13:22	16:57	19:02	
高浜小学校前-B	07:53	13:23	16:58	19:03	
大念寺-A	07:54	13:24	16:59	19:04	
高浜-E	07:55	13:25	17:00	19:05	
