始発停留所	能登部駅前	能登部駅前	能登部駅前		
始発時間	07:30	13:00	17:40		
終点時間	07:55	13:25	18:05		
終点停留所	高浜-E	高浜-E	高浜-E		
備考					
能登部駅前	07:30	13:00	17:40		
徳丸	07:32	13:02	17:42		
下後山	07:35	13:05	17:45		
上後山	07:36	13:06	17:46		
東谷内	07:39	13:09	17:49		
中村	07:40	13:10	17:50		
上棚	07:41	13:11	17:51		
二所宮	07:43	13:13	17:53		
下甘田保育所前	07:45	13:15	17:55		
雨谷	07:47	13:17	17:57		
福井口	07:48	13:18	17:58		
志賀やすらぎ荘前-B	07:49	13:19	17:59		
宿女	07:50	13:20	18:00		
大島入口	07:51	13:21	18:01		
福野	07:52	13:22	18:02		
高浜小学校前-B	07:53	13:23	18:03		
大念寺-A	07:54	13:24	18:04		
高浜-E	07:55	13:25	18:05		
