始発停留所	高浜-B	高浜-B	高浜-B	高浜-B	
始発時間	07:00	12:30	16:00	18:10	
終点時間	07:25	12:55	16:25	18:35	
終点停留所	能登部駅前	能登部駅前	能登部駅前	能登部駅前	
備考					
高浜-B	07:00	12:30	16:00	18:10	
大念寺-B	07:01	12:31	16:01	18:11	
高浜小学校前-A	07:02	12:32	16:02	18:12	
福野	07:03	12:33	16:03	18:13	
大島入口	07:04	12:34	16:04	18:14	
宿女	07:05	12:35	16:05	18:15	
志賀やすらぎ荘前-A	07:06	12:36	16:06	18:16	
福井口	07:07	12:37	16:07	18:17	
雨谷	07:08	12:38	16:08	18:18	
下甘田保育所前	07:10	12:40	16:10	18:20	
二所宮	07:12	12:42	16:12	18:22	
上棚	07:14	12:44	16:14	18:24	
中村	07:15	12:45	16:15	18:25	
東谷内	07:16	12:46	16:16	18:26	
上後山	07:19	12:49	16:19	18:29	
下後山	07:20	12:50	16:20	18:30	
徳丸	07:23	12:53	16:23	18:33	
能登部駅前	07:25	12:55	16:25	18:35	
