始発停留所	金沢大学-B	金沢大学-B	金沢大学-B		
始発時間	08:25	18:03	18:44		
終点時間	09:10	18:51	19:32		
終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】		
備考		ノンステップバス	ノンステップバス		
金沢大学-B	08:25	18:03	18:44		
金沢大学中央-B	08:26	18:04	18:45		
金沢大学自然研前	-	18:06	18:47		
金沢大学角間口-B	08:27	18:07	18:48		
角間新町-B	08:28	18:08	18:49		
若松（やまや前）	08:30	18:10	18:51		
若松西-B	08:31	18:11	18:52		
若松橋-B	08:32	18:12	18:53		
旭町（市内方向）	08:33	18:13	18:54		
旭町口-B	08:33	18:13	18:54		
田井町-B	08:34	18:14	18:55		
桜町-B	08:35	18:15	18:56		
暁町-B	08:36	18:16	18:57		
横山町-B	08:37	18:17	18:58		
小将町-B	08:38	18:18	18:59		
兼六園下（石川門）	08:40	18:22	19:03		
広坂（石浦神社前）	08:41	18:23	19:04		
本多町-A	08:42	18:24	19:05		
新竪-A	08:44	18:27	19:08		
片町中央通り-A	08:48	18:33	19:14		
長町-A	08:49	18:34	19:15		
富本町（三社方向）	08:50	18:35	19:16		
長土塀-B	08:51	18:37	19:18		
三社-B	08:52	18:38	19:19		
六枚町（ガスト前）	08:53	18:40	19:21		
金沢駅【降車場】	09:10	18:51	19:32		
