始発停留所	金沢駅【６】	小将町-A	田井町-A	金沢駅【６】	金沢駅【６】	小将町-A	金沢駅【６】	金沢駅【６】		
始発時間	07:29	08:05	08:09	08:16	09:15	09:40	16:52	17:52		
終点時間	08:18	08:27	08:27	09:05	09:58	10:02	17:41	18:41		
終点停留所	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B		
備考		学期休み期間、運休
ノンステップバス	学期休み期間、運休
ノンステップバス	ノンステップバス	学期休み期間、運休
ノンステップバス	学期休み期間、運休
ノンステップバス	ノンステップバス	ノンステップバス		
金沢駅【６】	07:29			08:16	09:15		16:52	17:52		
六枚町（労金前）	07:32			08:19	09:18		16:55	17:55		
三社-A	07:33			08:20	09:19		16:56	17:56		
長土塀-A	07:34			08:21	09:20		16:57	17:57		
富本町（片町方向）	07:36			08:23	09:21		16:59	17:59		
長町-B	07:37			08:24	09:22		17:00	18:00		
片町中央通り-B	07:38			08:25	09:23		17:01	18:01		
新竪-B	07:44			08:31	09:28		17:07	18:07		
本多町-B	07:47			08:34	09:31		17:10	18:10		
広坂（石浦神社向）	07:48			08:35	09:32		17:11	18:11		
兼六園下（北鉄車庫前）	07:50			08:37	09:34		17:13	18:13		
小将町-A	07:51	08:05		08:38	09:35	09:40	17:14	18:14		
横山町-A	07:52	08:06		08:39	09:36	09:41	17:15	18:15		
暁町-A	07:53	08:07		08:40	09:37	09:42	17:16	18:16		
桜町-A	07:54	08:08		08:41	09:38	09:43	17:17	18:17		
田井町-A	07:55	08:09	08:09	08:42	09:39	09:44	17:18	18:18		
旭町口-A	07:55	08:09	08:09	08:42	09:39	09:44	17:18	18:18		
旭町（金大方向）	07:56	08:10	08:10	08:43	09:40	09:45	17:19	18:19		
若松橋-A	07:57	08:11	08:11	08:44	09:41	09:46	17:20	18:20		
若松西-A	07:58	08:12	08:12	08:45	09:42	09:47	17:21	18:21		
若松（若松西から）	07:59	08:13	08:13	08:46	09:43	09:48	17:22	18:22		
角間新町-A	08:01	08:15	08:15	08:48	09:45	09:50	17:24	18:24		
金沢大学角間口-A	08:02	08:16	08:16	08:49	09:46	09:51	17:25	18:25		
金沢大学自然研前	08:03	08:17	08:17	08:50	09:47	09:52	17:26	18:26		
金沢大学中央-A	08:05	08:19	08:19	08:52	09:49	09:54	17:28	18:28		
金沢大学-B	08:18	08:27	08:27	09:05	09:58	10:02	17:41	18:41		
