始発停留所	能登飯田-B	能登飯田-B	能登飯田-B	能登飯田-B	能登飯田-B	能登飯田-B	能登飯田-B			
始発時間	08:50	09:50	12:10	14:00	15:55	17:50	19:00			
終点時間	09:51	10:51	13:11	15:01	16:40	18:49	19:59			
終点停留所	木の浦	木の浦	木の浦	木の浦	小浦出	能登折戸-A	能登折戸-A			
備考										
鵜飼駅前										
鵜飼本町-B										
春日野-A										
盤若橋-A										
谷崎-B										
竹中橋-A										
上戸農協前-A										
善慶寺前-A										
北方-B										
南町-A										
能登飯田-B	08:50	09:50	12:10	14:00	15:55	17:50	19:00			
吾妻橋-A	08:51	09:51	12:11	14:01	15:56	17:51	19:01			
昭和橋	08:52	09:52	12:12	14:02	15:57	17:52	19:02			
すずなり館前-C	08:53	09:53	12:13	14:03	15:58	17:53	19:03			
飯田高校下	08:54	09:54	12:14	14:04	15:59	17:54	19:04			
珠洲市総合病院前-A	08:56	09:56	12:16	14:06	16:01	17:56	19:06			
島田	08:57	09:57	12:17	14:07	16:02	17:57	19:07			
勝楽寺前	08:58	09:58	12:18	14:08	16:03	17:58	19:08			
野々江	08:59	09:59	12:19	14:09	16:04	17:59	19:09			
熊谷	09:00	10:00	12:20	14:10	16:05	18:00	19:10			
正院西口-A	09:01	10:01	12:21	14:11	16:06	18:01	19:11			
正院-A	09:02	10:02	12:22	14:12	16:07	18:02	19:12			
川尻口-B	-	-	-	-	16:08	-	-			
飯塚農協前	-	-	-	-	16:11	-	-			
能登飯塚	-	-	-	-	16:12	-	-			
岡田口	-	-	-	-	16:13	-	-			
岡田神社前	-	-	-	-	16:14	-	-			
岡田	-	-	-	-	16:15	-	-			
洲巻口	-	-	-	-	16:20	-	-			
能登洲巻	-	-	-	-	16:21	-	-			
唐笠口	-	-	-	-	16:22	-	-			
東山中	-	-	-	-	16:23	-	-			
北山	-	-	-	-	16:24	-	-			
北山口	-	-	-	-	16:25	-	-			
灰庭口	-	-	-	-	16:27	-	-			
前浜	09:03	10:03	12:23	14:13	-	18:03	19:13			
珠洲川尻-A	09:04	10:04	12:24	14:14	-	18:04	19:14			
弁天公園前-A	09:06	10:06	12:26	14:16	-	18:06	19:16			
本蛸島-A	09:07	10:07	12:27	14:17	-	18:07	19:17			
蛸島本町	09:08	10:08	12:28	14:18	-	18:08	19:18			
旭町-A	09:09	10:09	12:29	14:19	-	18:09	19:19			
りふれっしゅ村	09:10	10:10	12:30	14:20	-	18:10	19:20			
鉢ヶ崎-A	09:11	10:11	12:31	14:21	-	18:11	19:21			
上雲津-A	09:12	10:12	12:32	14:22	-	18:12	19:22			
雲津	09:13	10:13	12:33	14:23	-	18:13	19:23			
小泊港	09:15	10:15	12:35	14:25	-	18:15	19:25			
小泊	09:17	10:17	12:37	14:27	-	18:17	19:27			
能登伏見	09:19	10:19	12:39	14:29	-	18:19	19:29			
高波	09:20	10:20	12:40	14:30	-	18:20	19:30			
引砂のさんにょもん	09:22	10:22	12:42	14:32	-	18:22	19:32			
能登宇治	09:23	10:23	12:43	14:33	-	18:23	19:33			
森腰	09:25	10:25	12:45	14:35	-	18:25	19:35			
粟津	09:26	10:26	12:46	14:36	-	18:26	19:36			
みさき小学校前-A	09:27	10:27	12:47	14:37	-	18:27	19:37			
寺家大浜	09:28	10:28	12:48	14:38	-	18:28	19:38			
寺家川上	09:29	10:29	12:49	14:39	-	18:29	19:39			
須須神社前	09:30	10:30	12:50	14:40	-	18:30	19:40			
寺家塩津	09:31	10:31	12:51	14:41	-	18:31	19:41			
寺家上野	09:33	10:33	12:53	14:43	-	18:33	19:43			
葭ヶ浦	09:36	10:36	12:56	14:46	-	18:36	19:46			
狼煙口	09:40	10:40	13:00	14:50	-	18:40	19:50			
狼煙-A	09:41	10:41	13:01	14:51	-	18:41	19:51			
能登横山	09:43	10:43	13:03	14:53	-	18:43	19:53			
川浦	09:45	10:45	13:05	14:55	-	18:45	19:55			
能登洲崎	09:47	10:47	13:07	14:57	-	18:47	19:57			
能登折戸-A	09:49	10:49	13:09	14:59	16:30	18:49	19:59			
木の浦	09:51	10:51	13:11	15:01	16:32					
徳保					16:33					
高屋新保					16:37					
思案崎-A					16:38					
高屋					16:39					
小浦出					16:40					
