始発停留所	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	
始発時間	07:42	09:14	11:34	13:34	14:50	16:50	18:14	19:00	19:40	
終点時間	08:29	10:09	12:29	14:29	15:48	17:48	19:04	19:52	20:32	
終点停留所	木越住宅（始発）	大浦保育園前-B	大浦保育園前-B	大浦保育園前-B	大浦保育園前-B	大浦保育園前-B	木越住宅（始発）	大浦保育園前-B	大浦保育園前-B	
備考				ノンステップバス	ノンステップバス				ノンステップバス	
円光寺（始発）	07:42	09:14	11:34	13:34	14:50	16:50	18:14	19:00	19:40	
泉丘高校前-B	07:44	09:16	11:36	13:36	14:52	16:52	18:16	19:02	19:42	
泉が丘（有松方向）	07:45	09:17	11:37	13:37	14:53	16:53	18:17	19:03	19:43	
有松（泉が丘から）	07:46	09:18	11:38	13:38	14:55	16:55	18:18	19:04	19:44	
泉二丁目-B	07:48	09:20	11:40	13:40	14:57	16:57	18:20	19:06	19:46	
泉一丁目-B	07:49	09:21	11:41	13:41	14:58	16:58	18:21	19:07	19:47	
野町-B	07:50	09:22	11:42	13:42	14:59	16:59	18:22	19:08	19:48	
広小路（有松から）	07:51	09:23	11:43	13:43	15:00	17:00	18:23	19:09	19:49	
片町	07:53	09:26	11:46	13:46	15:03	17:03	18:26	19:11	19:51	
香林坊（日銀前）	07:55	09:28	11:48	13:48	15:05	17:05	18:28	19:13	19:53	
南町-B	07:57	09:30	11:50	13:50	15:07	17:07	18:30	19:14	19:54	
武蔵ヶ辻（かなざわはこまち前）	07:58	09:32	11:52	13:52	15:09	17:09	18:32	19:16	19:56	
尾張町-A	07:59	09:33	11:53	13:53	15:10	17:10	18:33	19:17	19:57	
橋場町（主計町入口）	08:00	09:35	11:55	13:55	15:12	17:12	18:35	19:18	19:58	
東山-A	08:01	09:36	11:56	13:56	15:13	17:13	18:36	19:19	19:59	
森山-A	08:02	09:37	11:57	13:57	15:14	17:14	18:37	19:20	20:00	
山の上（鳴和方向）	08:03	09:38	11:58	13:58	15:15	17:15	18:38	19:21	20:01	
春日町（山の上から）	08:04	09:39	11:59	13:59	15:16	17:16	18:39	19:22	20:02	
鳴和-A	08:06	09:41	12:01	14:01	15:18	17:18	18:41	19:24	20:04	
小坂-A	08:07	09:42	12:02	14:02	15:19	17:19	18:42	19:25	20:05	
小坂中-A	08:08	09:43	12:03	14:03	15:20	17:20	18:43	19:26	20:06	
神谷内-A	08:09	09:44	12:04	14:04	15:21	17:21	18:44	19:27	20:07	
中神谷内-A	08:10	09:45	12:05	14:05	15:22	17:22	18:45	19:28	20:08	
疋田-A	08:11	09:46	12:06	14:06	15:23	17:23	18:46	19:29	20:09	
疋田東-A	08:12	09:47	12:07	14:07	15:24	17:24	18:47	19:30	20:10	
千木南-A	08:14	09:49	12:09	14:09	15:26	17:26	18:49	19:32	20:12	
千木-A	08:15	09:50	12:10	14:10	15:27	17:27	18:50	19:33	20:13	
みずき団地口-A	08:18	09:52	12:12	14:12	15:29	17:29	18:53	19:35	20:15	
木越住宅（郊外方向）	-	09:53	12:13	14:13	15:30	17:30	-	19:36	20:16	
木越住宅（始発）	08:29	-	-	-	-	-	19:04	-	-	
木越-A		09:54	12:14	14:14	15:31	17:31		19:37	20:17	
大浦東口		09:56	12:16	14:16	15:33	17:33		19:39	20:19	
大浦-A		09:57	12:17	14:17	15:34	17:34		19:40	20:20	
大浦保育園前-B		10:09	12:29	14:29	15:48	17:48		19:52	20:32	
