始発停留所	大浦保育園前-B	大浦保育園前-B	大浦保育園前-B	大浦保育園前-B	大浦保育園前-B
始発時間	12:45	14:47	16:09	18:15	20:00
終点時間	13:40	15:45	17:07	19:10	20:52
終点停留所	円光寺-D	円光寺-D	円光寺-D	円光寺-D	円光寺-D
備考		ノンステップバス	ノンステップバス		ノンステップバス
大浦保育園前-B	12:45	14:47	16:09	18:15	20:00
大浦-A	12:46	14:48	16:10	18:16	20:01
大浦東口	12:47	14:49	16:11	18:17	20:02
木越-B	12:49	14:51	16:13	18:19	20:04
木越住宅（始発）	-	-	-	-	-
木越住宅（市内方向）	12:50	14:52	16:14	18:20	20:05
みずき団地口-B	12:51	14:53	16:15	18:21	20:06
千木-B	12:53	14:55	16:17	18:23	20:08
千木南-B	12:54	14:56	16:18	18:24	20:09
疋田東-B	12:55	14:57	16:19	18:25	20:10
疋田-B	12:56	14:58	16:20	18:26	20:11
中神谷内-B	12:57	14:59	16:21	18:27	20:12
神谷内-B	12:59	15:01	16:23	18:29	20:14
小坂中-B	13:00	15:02	16:24	18:30	20:15
小坂-B	13:01	15:03	16:25	18:31	20:16
鳴和-B	13:02	15:04	16:26	18:32	20:17
春日町（山の上方向）	13:03	15:05	16:27	18:33	20:18
山の上（橋場方向）	13:04	15:06	16:28	18:34	20:19
森山-B	13:05	15:07	16:29	18:35	20:20
東山-B	13:06	15:08	16:30	18:36	20:21
橋場町（交番前）	13:08	15:10	16:32	18:38	20:23
尾張町-B	13:10	15:12	16:34	18:40	20:24
武蔵ヶ辻（近江町市場前）	13:12	15:14	16:36	18:42	20:26
南町-A	13:14	15:16	16:38	18:44	20:27
香林坊（アトリオ前）	13:16	15:18	16:40	18:46	20:29
片町（パシオン前）	13:19	15:21	16:43	18:49	20:31
広小路（有松方向）	13:21	15:23	16:45	18:51	20:33
野町-A	13:22	15:24	16:46	18:52	20:34
泉一丁目-A	13:23	15:25	16:47	18:53	20:35
泉二丁目-A	13:24	15:26	16:48	18:54	20:36
有松（泉が丘方向）	13:26	15:28	16:50	18:56	20:37
泉が丘（円光寺方向）	13:28	15:30	16:52	18:58	20:39
泉丘高校前-A	13:30	15:32	16:54	19:00	20:41
円光寺-D	13:40	15:45	17:07	19:10	20:52
