始発停留所	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅
始発時間	08:00	09:30	12:30	14:10	15:35
終点時間	08:30	09:57	12:57	14:37	16:02
終点停留所	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B
備考			ノンステップバス		ノンステップバス
東金沢駅	08:00	09:30	12:30	14:10	15:35
東金沢駅東口-A	08:01	09:31	12:31	14:11	15:36
小坂西-B	08:01	09:31	12:31	14:11	15:36
星稜高校（駐車場内）	08:04	09:34	12:34	14:14	15:39
御所町-B	08:05	09:35	12:35	14:15	15:40
鈴見台一丁目（アオキ前）	08:10	09:40	12:40	14:20	15:45
鈴見町-A	08:11	09:41	12:41	14:21	15:46
若松橋-A	08:12	09:42	12:42	14:22	15:47
若松西-A	08:13	09:43	12:43	14:23	15:48
若松（若松西から）	08:14	09:44	12:44	14:24	15:49
角間新町-A	08:16	09:46	12:46	14:26	15:51
金沢大学角間口-A	08:17	09:47	12:47	14:27	15:52
金沢大学自然研前	08:18	09:48	12:48	14:28	15:53
金沢大学中央-A	08:20	09:50	12:50	14:30	15:55
金沢大学-B	08:30	09:57	12:57	14:37	16:02
