始発停留所	千代野ニュータウン				
始発時間	07:05				
終点時間	08:11				
終点停留所	香林坊（市役所前）				
備考	ノンステップバス				
千代野ニュータウン	07:05				
千代野西八丁目-B	07:06				
千代野西六丁目-B	07:06				
千代野西二丁目-B	07:07				
千代野東三丁目-B	07:08				
千代野東一丁目-B	07:09				
北安田南-B	07:10				
北安田中央-B	07:10				
北安田-B	07:11				
出城公民館前-B	07:12				
村井町（千代野から）	07:13				
南松任（金沢駅方向）	07:14				
松任高校前-B	07:15				
西新町-B	07:16				
松任（金沢駅方向）	07:18				
布市町	07:21				
若宮体育館前	07:22				
長竹西	07:23				
長竹東	07:24				
明倫高校前（稲荷方向）	-				
明倫高校前（三納方向）	07:26				
三納町-B	07:27				
矢作北-B	07:29				
額新保一丁目-B	07:30				
額新町-B	07:31				
光が丘口（額住宅駅から）	07:33				
扇台小学校前-B	07:34				
扇が丘-B	07:35				
金沢工業大学（四十万から）	07:36				
三馬日赤病院前-B	07:37				
錦丘高校前（四十万から）	07:39				
伏見台（長坂方向）	07:40				
円光寺北-B	07:41				
泉丘高校前-B	07:43				
二水高校前-A	07:46				
平和町（公民館前）	07:47				
十一屋-B	07:49				
寺町一丁目（猿丸神社前方向）	07:50				
菊川一丁目-B	07:53				
思案橋-B	07:55				
幸町-B	07:56				
本多町-B	07:58				
広坂（金沢２１世紀美術館前）	07:59				
香林坊（市役所前）	08:11				
