始発停留所	白山市役所前-D	白山市役所前-D	白山市役所前-D	白山市役所前-D	白山市役所前-D	白山市役所前-D	白山市役所前-D	白山市役所前-D	白山市役所前-D	
始発時間	06:04	06:24	06:42	07:10	08:14	09:29	10:14	15:14	16:29	
終点時間	06:45	07:05	07:23	07:51	08:58	10:13	11:01	16:04	17:19	
終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	
備考			ノンステップバス				ノンステップバス		ノンステップバス	
金城大学										
宮丸-B										
中村南-B										
中村-B										
村井町（寺井から）										
白山市役所前-D	06:04	06:24	06:42	07:10	08:14	09:29	10:14	15:14	16:29	
村井団地-B	06:06	06:26	06:44	07:12	08:16	09:31	10:16	15:16	16:31	
南松任（金沢駅方向）	06:07	06:27	06:45	07:13	08:17	09:32	10:17	15:17	16:32	
松任高校前-B	06:08	06:28	06:46	07:14	08:18	09:33	10:18	15:18	16:33	
西新町-B	06:09	06:29	06:47	07:15	08:19	09:34	10:19	15:19	16:34	
松任（金沢駅方向）	06:10	06:30	06:48	07:16	08:20	09:35	10:20	15:20	16:35	
八ツ矢（市内方向）	06:11	06:31	06:49	07:17	08:21	09:36	10:21	15:21	16:36	
徳丸-B	06:12	06:32	06:50	07:18	08:22	09:37	10:22	15:22	16:37	
番匠-B	06:13	06:33	06:51	07:19	08:23	09:38	10:23	15:23	16:38	
田中-B	06:14	06:34	06:52	07:20	08:24	09:39	10:24	15:24	16:39	
三日市-B	06:15	06:35	06:53	07:21	08:25	09:40	10:25	15:25	16:40	
堀内町-B	06:17	06:37	06:55	07:23	08:27	09:42	10:27	15:27	16:42	
稲荷-B	06:18	06:38	06:56	07:24	08:28	09:43	10:28	15:28	16:43	
太平寺（市内方向）	06:19	06:39	06:57	07:25	08:29	09:44	10:29	15:29	16:44	
西野々市（横宮方向）	06:20	06:40	06:58	07:26	08:30	09:45	10:30	15:30	16:45	
野々市中央-B	06:21	06:41	06:59	07:27	08:31	09:46	10:31	15:31	16:46	
横宮-B	06:22	06:42	07:00	07:28	08:32	09:47	10:32	15:32	16:47	
伏見橋（ニューハウス前）	06:23	06:43	07:01	07:29	08:33	09:48	10:34	15:34	16:49	
二万堂-B	06:24	06:44	07:02	07:30	08:34	09:49	10:35	15:35	16:50	
有松（二万堂から）	06:25	06:45	07:03	07:31	08:35	09:50	10:36	15:36	16:51	
泉二丁目-B	06:27	06:47	07:05	07:33	08:37	09:52	10:38	15:38	16:53	
泉一丁目-B	06:28	06:48	07:06	07:34	08:38	09:53	10:39	15:39	16:54	
野町-B	06:29	06:49	07:07	07:35	08:39	09:54	10:40	15:40	16:55	
広小路（有松から）	06:30	06:50	07:08	07:36	08:40	09:55	10:41	15:41	16:56	
片町（ラブロ前）	06:33	06:53	07:11	07:39	08:43	09:58	10:44	15:44	16:59	
香林坊（日銀前）	06:34	06:54	07:12	07:40	08:44	09:59	10:45	15:45	17:00	
南町-B	06:36	06:56	07:14	07:42	08:46	10:01	10:47	15:47	17:02	
武蔵ヶ辻（エムザ前）	06:38	06:58	07:16	07:44	08:48	10:03	10:49	15:49	17:04	
武蔵ヶ辻（スカイ前）	-	-	-	-	-	-	-	-	-	
リファーレ前-B	06:40	07:00	07:18	07:46	08:50	10:05	10:51	15:51	17:06	
金沢駅【降車場】	06:45	07:05	07:23	07:51	08:58	10:13	11:01	16:04	17:19	
六枚町（金石方向）										
広岡口（朱鷺の苑前）										
金沢駅西口降車										
金沢駅西口【６】										
広岡-A										
西念南-A										
西念西-A										
駅西合庁前（西念南から）										
県庁前-D										
