始発停留所	金沢駅【９】				
始発時間	18:55				
終点時間	19:42				
終点停留所	白山市役所前-C				
備考					
金沢駅【９】	18:55				
リファーレ前-A	18:57				
武蔵ヶ辻（近江町市場前）	19:00				
南町-A	19:02				
香林坊（アトリオ前）	19:04				
片町（パシオン前）	19:07				
広小路（有松方向）	19:09				
野町-A	19:10				
泉一丁目-A	19:11				
泉二丁目-A	19:12				
有松（郵便局前）	19:14				
二万堂-A	19:15				
伏見橋（国道松任方向）	19:17				
横宮-A	19:19				
野々市中央-A	19:21				
西野々市（松任方向）	19:22				
太平寺（松任方向）	19:24				
稲荷-A	19:25				
堀内町-A	19:26				
三日市-A	19:28				
田中-A	19:29				
番匠-A	19:30				
徳丸-A	19:31				
八ツ矢（松任方向）	19:32				
松任（郊外方向）	19:34				
西新町-A	19:35				
松任高校前-A	19:36				
南松任-B	-				
南松任（千代野方向）	19:37				
村井団地-A	19:38				
白山市役所前-C	19:42				
村井町（寺井方向）					
中村-A					
中村南-A					
宮丸-A					
金城大学					
