始発停留所	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）	円光寺（始発）			
始発時間	07:07	08:00	08:25	08:40	09:00	09:34	09:50	10:14	10:34	10:43	11:14	11:50	12:14	12:34	13:03	13:45	14:14	14:34	15:14	15:34	15:50	16:14	16:34	17:17	17:34	17:50	18:29	19:20	20:00	20:25	20:52	21:30			
終点時間	07:56	08:35	09:00	09:29	09:38	10:12	10:28	10:52	11:26	11:21	11:52	12:28	12:52	13:26	13:41	14:23	15:09	15:15	15:55	16:29	16:31	16:55	17:17	17:58	18:29	18:35	19:07	19:55	20:35	21:00	21:41	22:05			
終点停留所	木越住宅（始発）	柳橋-A	柳橋-A	木越住宅（始発）	柳橋-A	柳橋-A	柳橋-A	柳橋-A	木越住宅（始発）	柳橋-A	柳橋-A	柳橋-A	柳橋-A	木越住宅（始発）	柳橋-A	柳橋-A	木越住宅（始発）	柳橋-A	柳橋-A	木越住宅（始発）	柳橋-A	柳橋-A	柳橋-A	柳橋-A	木越住宅（始発）	柳橋-A	柳橋-A	柳橋-A	柳橋-A	柳橋-A	木越住宅（始発）	柳橋-A			
備考				ノンステップバス						ノンステップバス										ノンステップバス	ノンステップバス			ノンステップバス		ノンステップバス	ノンステップバス				ノンステップバス				
円光寺（始発）	07:07	08:00	08:25	08:40	09:00	09:34	09:50	10:14	10:34	10:43	11:14	11:50	12:14	12:34	13:03	13:45	14:14	14:34	15:14	15:34	15:50	16:14	16:34	17:17	17:34	17:50	18:29	19:20	20:00	20:25	20:52	21:30			
泉丘高校前-B	07:09	08:02	08:27	08:42	09:02	09:36	09:52	10:16	10:36	10:45	11:16	11:52	12:16	12:36	13:05	13:47	14:16	14:36	15:16	15:36	15:52	16:16	16:36	17:19	17:36	17:52	18:31	19:22	20:02	20:27	20:54	21:32			
泉が丘（有松方向）	07:10	08:03	08:28	08:43	09:03	09:37	09:53	10:17	10:37	10:46	11:17	11:53	12:17	12:37	13:06	13:48	14:17	14:37	15:17	15:37	15:53	16:17	16:37	17:20	17:37	17:53	18:32	19:23	20:03	20:28	20:55	21:33			
有松（泉が丘から）	07:11	08:04	08:29	08:44	09:04	09:38	09:55	10:18	10:38	10:47	11:19	11:54	12:18	12:38	13:07	13:49	14:19	14:38	15:18	15:39	15:54	16:18	16:39	17:21	17:39	17:55	18:33	19:24	20:04	20:29	20:56	21:34			
泉二丁目-B	07:13	08:06	08:31	08:46	09:06	09:40	09:57	10:20	10:40	10:49	11:21	11:56	12:20	12:40	13:09	13:51	14:21	14:40	15:20	15:41	15:56	16:20	16:41	17:23	17:41	17:57	18:35	19:26	20:06	20:31	20:58	21:36			
泉一丁目-B	07:14	08:07	08:32	08:47	09:07	09:41	09:58	10:21	10:41	10:50	11:22	11:57	12:21	12:41	13:10	13:52	14:22	14:41	15:21	15:42	15:57	16:21	16:42	17:24	17:42	17:58	18:36	19:27	20:07	20:32	20:59	21:37			
