始発停留所	柳橋（始発）				
始発時間	20:50				
終点時間	21:26				
終点停留所	円光寺-D				
備考					
本津幡駅-B					
庄本町通り-B					
庄町商店街-B					
パピィ・１通り-B					
津幡中央-B					
北中条-B					
津幡駅前-B					
新太田-B					
利屋町（新道）					
岸川（新道）					
八幡-B					
今町（新道）					
観法寺-B					
南森本-B					
森本駅前-B					
百坂-B					
木越住宅（始発）					
木越住宅（市内方向）					
みずき団地口-B					
福久-B					
福久南-C					
荒屋-B					
金市-A					
金市団地-A					
横枕-A					
法光寺-B					
柳橋（森本から）					
柳橋（始発）	20:50				
神谷内-B	20:51				
小坂中-B	20:52				
小坂-B	20:53				
鳴和-B	20:54				
春日町（山の上方向）	20:55				
山の上（橋場方向）	20:56				
森山-B	20:57				
東山-B	20:58				
橋場町（交番前）	21:00				
尾張町-B	21:01				
武蔵ヶ辻（近江町市場前）	21:03				
南町-A	21:04				
香林坊（アトリオ前）	21:06				
片町（パシオン前）	21:08				
広小路（有松方向）	21:10				
野町-A	21:11				
泉一丁目-A	21:12				
泉二丁目-A	21:13				
有松（泉が丘方向）	21:14				
泉が丘（円光寺方向）	21:16				
泉丘高校前-A	21:18				
円光寺-D	21:26				
