始発停留所	武蔵ヶ辻（近江町市場前）	武蔵ヶ辻（近江町市場前）			
始発時間	19:00	20:00			
終点時間	19:25	20:25			
終点停留所	泉野出町一丁目	泉野出町一丁目			
備考	ノンステップバス	ノンステップバス			
柳橋（始発）					
神谷内-B					
小坂中-B					
小坂-B					
鳴和-B					
春日町（山の上方向）					
山の上（彦三方向）					
山の上（橋場方向）					
森山-B					
東山-B					
橋場町（交番前）					
橋場町（金城楼前）					
兼六園下（石川門向い）					
広坂（金沢２１世紀美術館前）					
森山二丁目（彦三方向）					
小橋町-B					
瓢箪町-B					
彦三-B					
武蔵ヶ辻（近江町市場前）	19:00	20:00			
南町-A	19:01	20:01			
香林坊（アトリオ前）	19:03	20:03			
香林坊（市役所前）	-	-			
片町（パシオン前）	19:05	20:05			
広小路（平和町方向）	19:07	20:07			
寺町三丁目-A	19:09	20:09			
寺町二丁目-A	19:10	20:10			
寺町一丁目（泉が丘方向）	19:11	20:11			
泉野一丁目-B	19:12	20:12			
泉野四丁目（有松方向）	19:13	20:13			
泉野六丁目	19:14	20:14			
市総合体育館前-B	19:15	20:15			
泉野出町-B	19:16	20:16			
伏見新町-B	19:17	20:17			
長坂台-B	19:18	20:18			
泉野出町一丁目	19:25	20:25			
