始発停留所	消費生活支援センター				
始発時間	17:45				
終点時間	18:29				
終点停留所	柳橋-A				
備考	ノンステップバス				
消費生活支援センター	17:45				
戸水西-B	17:46				
工業試験場	17:50				
金沢西高校-B	17:51				
市立工業高校東口	17:52				
藤江北-B	17:54				
県庁前-B	17:56				
駅西合庁前（西念南方向）	17:59				
西念西-B	18:00				
西念南-B	18:01				
広岡-B	18:03				
金沢駅西口降車	18:07				
金沢駅西口【７】	18:07				
金沢駅東通り-B	18:07				
金沢駅【１】	18:11				
中島大橋-A	18:14				
浅野町小学校前-A	18:15				
東警察署前（鳴和方向）	18:16				
神宮寺町（鳴和方向）	18:17				
春日町（東署から）	18:18				
鳴和-A	18:20				
小坂-A	18:21				
小坂中-A	18:22				
神谷内-A	18:23				
柳橋-A	18:29				
