始発停留所	兜地	兜地	兜地		
始発時間	07:10	09:35	16:10		
終点時間	07:52	10:00	16:35		
終点停留所	宇出津駅前-B	柳田-A	柳田-A		
備考					
兜地	07:10	09:35	16:10		
当目学校前	07:12	09:37	16:12		
当目	07:13	09:38	16:13		
極楽寺	07:15	09:40	16:15		
岩井戸-B	07:17	09:42	16:17		
黒川	07:19	09:44	16:19		
免谷橋	07:21	09:46	16:21		
立岩地	07:23	09:48	16:23		
五十里	07:25	09:50	16:25		
重年	07:28	09:53	16:28		
白山神社前	07:30	09:55	16:30		
としけ橋	07:31	09:56	16:31		
柳田病院前	07:32	09:57	16:32		
柳田庁舎前-B	07:33	09:58	16:33		
柳田-C	07:35	10:00	16:35		
柳田-A	07:35	10:00	16:35		
笹川橋-A	07:36				
笹川-A	07:37				
天坂橋-A	07:39				
柳田天坂-A	07:40				
上町公民館前-A	07:41				
柳田上町-A	07:42				
中又-A	07:44				
立ケ谷内-A	07:46				
長坂	07:48				
平体口	07:50				
梅の木-B	07:51				
宇出津駅前-B	07:52				
