始発停留所	鶴来駅-C	鶴来駅-C	鶴来駅-C	鶴来駅-C	
始発時間	07:50	12:50	16:21	19:17	
終点時間	08:31	13:31	17:02	19:58	
終点停留所	瀬女-A	瀬女-A	瀬女-A	瀬女-A	
備考					
鶴来駅-C	07:50	12:50	16:21	19:17	
つるぎ病院前	-	-	-	-	
大国町-A	-	-	-	-	
鶴来本町-A	07:52	12:52	16:23	19:19	
白山青年の家前-A	07:53	12:53	16:24	19:20	
今町-A	07:54	12:54	16:25	19:21	
一の宮-A	07:55	12:55	16:26	19:22	
白山町	07:56	12:56	16:27	19:23	
白山町中	07:57	12:57	16:28	19:24	
石川県浄水場口	07:57	12:57	16:28	19:24	
南白山町	07:58	12:58	16:29	19:25	
中島	07:59	12:59	16:30	19:26	
広瀬	08:00	13:00	16:31	19:27	
ファミール鳥越-A	08:01	13:01	16:32	19:28	
瀬木野	08:02	13:02	16:33	19:29	
服部	08:03	13:03	16:34	19:30	
加賀河合	08:04	13:04	16:35	19:31	
上河合	08:05	13:05	16:36	19:32	
大日川	08:06	13:06	16:37	19:33	
若原	08:07	13:07	16:38	19:34	
下野	08:08	13:08	16:39	19:35	
上野	08:09	13:09	16:40	19:36	
小学校前	08:10	13:10	16:41	19:37	
釜清水	08:12	13:12	16:43	19:39	
下吉谷	08:16	13:16	16:47	19:43	
上吉谷	08:18	13:18	16:49	19:45	
西佐良	08:19	13:19	16:50	19:46	
三ツ屋野	08:21	13:21	16:52	19:48	
河原山	08:23	13:23	16:54	19:50	
白山下	08:24	13:24	16:55	19:51	
上木滑-C	08:26	13:26	16:57	19:53	
木滑新	08:27	13:27	16:58	19:54	
瀬戸野	08:28	13:28	16:59	19:55	
瀬女-A	08:31	13:31	17:02	19:58	
