始発停留所	柳橋（始発）	柳橋（始発）	野町駅-A	野町駅-A	野町駅-A	兼六園下（石川門）	兼六園下（石川門）	兼六園下（石川門）	兼六園下（石川門）	兼六園下（石川門）	兼六園下（石川門）	兼六園下（石川門）	兼六園下（石川門）	兼六園下（石川門）	兼六園下（石川門）	兼六園下（石川門）	野町駅-A			
始発時間	06:25	06:55	07:00	07:33	08:15	09:40	11:10	13:00	14:40	16:05	16:45	17:30	18:20	19:10	20:00	21:10	22:56			
終点時間	06:55	07:25	07:54	08:08	09:09	10:34	12:07	13:54	15:34	17:08	17:42	18:33	19:17	20:07	20:52	21:59	23:21			
終点停留所	本津幡駅-B	本津幡駅-B	本津幡駅-B	柳橋-A	本津幡駅-B	本津幡駅-B	本津幡駅-B	本津幡駅-B	本津幡駅-B	本津幡駅-B	本津幡駅-B	本津幡駅-B	本津幡駅-B	本津幡駅-B	本津幡駅-B	本津幡駅-B	柳橋-A			
備考						ノンステップバス			ノンステップバス				ノンステップバス							
野町駅-A			07:00	07:33	08:15												22:56			
広小路（有松から）			07:02	07:35	08:17												22:58			
片町（ラブロ前）			07:04	07:37	08:19												23:00			
兼六園下（石川門）			-	-	-	09:40	11:10	13:00	14:40	16:05	16:45	17:30	18:20	19:10	20:00	21:10	-			
広坂（金沢２１世紀美術館前）			-	-	-	09:42	11:12	13:02	14:42	16:07	16:47	17:32	18:22	19:12	20:02	21:12	-			
香林坊（日銀前）			07:07	07:40	08:22	09:44	11:14	13:04	14:44	16:09	16:49	17:34	18:24	19:14	20:04	21:14	23:01			
南町-B			07:09	07:42	08:24	09:46	11:16	13:06	14:46	16:11	16:51	17:36	18:26	19:16	20:05	21:15	23:02			
武蔵ヶ辻（エムザ前）			07:11	07:44	08:26	09:48	11:18	13:08	14:48	16:13	16:53	17:38	18:28	19:18	20:07	21:17	23:04			
彦三-A			07:12	07:46	08:27	09:49	11:19	13:09	14:49	16:14	16:54	17:39	18:29	19:19	20:08	21:18	23:05			
瓢箪町-A			07:13	07:47	08:28	09:50	11:20	13:10	14:50	16:15	16:55	17:40	18:30	19:20	20:09	21:19	23:06			
小橋町-A			07:14	07:48	08:29	09:51	11:21	13:11	14:51	16:16	16:56	17:41	18:31	19:21	20:10	21:20	23:07			
森山二丁目（山の上方向）			07:15	07:49	08:30	09:52	11:22	13:12	14:52	16:17	16:57	17:42	18:32	19:22	20:11	21:21	23:08			
山の上（鳴和方向）			07:16	07:51	08:31	09:53	11:23	13:13	14:53	16:18	16:58	17:43	18:33	19:23	20:12	21:22	23:09			
春日町（山の上から）			07:17	07:53	08:32	09:54	11:24	13:14	14:54	16:19	16:59	17:44	18:34	19:24	20:13	21:23	23:10			
鳴和-A			07:19	07:55	08:34	09:56	11:26	13:16	14:56	16:21	17:01	17:46	18:36	19:26	20:15	21:25	23:12			
小坂-A			07:20	07:56	08:35	09:57	11:27	13:17	14:57	16:22	17:02	17:47	18:37	19:27	20:16	21:26	23:13			
小坂中-A			07:21	07:57	08:36	09:58	11:28	13:18	14:58	16:23	17:03	17:48	18:38	19:28	20:17	21:27	23:14			
神谷内-A			07:22	07:59	08:37	09:59	11:30	13:19	14:59	16:25	17:05	17:50	18:40	19:30	20:18	21:28	23:15			
柳橋-A			-	08:08	-	-	-	-	-	-	-	-	-	-	-	-	23:21			
柳橋（始発）	06:25	06:55	-		-	-	-	-	-	-	-	-	-	-	-	-				
柳橋（森本方向）	-	-	07:23		08:38	10:00	11:31	13:20	15:00	16:26	17:07	17:51	18:42	19:32	20:19	21:29				
法光寺-A	06:26	06:56	07:24		08:39	10:01	11:32	13:21	15:01	16:27	17:08	17:52	18:43	19:33	20:20	21:30				
百坂-A	06:27	06:57	07:25		08:40	10:02	11:33	13:22	15:02	16:28	17:09	17:53	18:44	19:34	20:21	21:31				
森本駅前-A	06:29	06:59	07:27		08:42	10:04	11:35	13:24	15:04	16:32	17:12	17:57	18:47	19:37	20:23	21:33				
森本市民センター前-B	-	-	-		-	-	11:37	-	-	16:34	-	17:59	-	-	20:24	-				
森本大橋	-	-	-		-	-	11:39	-	-	16:36	-	18:01	-	-	20:26	-				
今町（旧道）-A	-	-	-		-	-	11:42	-	-	16:39	-	18:04	-	-	20:29	-				
二日市	-	-	-		-	-	11:43	-	-	16:40	-	18:05	-	-	20:30	-				
岸川（旧道）-A	-	-	-		-	-	11:44	-	-	16:41	-	18:06	-	-	20:31	-				
利屋町（旧道）	-	-	-		-	-	11:45	-	-	16:42	-	18:07	-	-	20:32	-				
太田南口-A	-	-	-		-	-	11:46	-	-	16:43	-	18:08	-	-	20:33	-				
太田	-	-	-		-	-	11:47	-	-	16:44	-	18:09	-	-	20:34	-				
潟端	-	-	-		-	-	11:48	-	-	16:45	-	18:10	-	-	20:35	-				
中条	-	-	-		-	-	11:49	-	-	16:46	-	18:11	-	-	20:36	-				
北中条	-	-	-		-	-	11:50	-	-	16:47	-	18:12	-	-	20:37	-				
横浜	-	-	-		-	-	11:51	-	-	16:48	-	18:13	-	-	20:38	-				
南森本-A	06:31	07:01	07:29		08:44	10:06	-	13:26	15:06	-	17:14	-	18:49	19:39	-	21:35				
観法寺-A	06:32	07:02	07:30		08:45	10:07	-	13:27	15:07	-	17:15	-	18:50	19:40	-	21:36				
今町（新道）	06:34	07:04	07:32		08:47	10:09	-	13:29	15:09	-	17:17	-	18:52	19:42	-	21:38				
八幡-A	06:36	07:06	07:33		08:48	10:10	-	13:30	15:10	-	17:18	-	18:53	19:43	-	21:39				
