始発停留所	本津幡駅-B	柳橋（始発）	柳橋（始発）		
始発時間	18:40	21:35	22:10		
終点時間	19:29	22:00	22:35		
終点停留所	兼六園下（北鉄車庫前）	野町駅-B	野町駅-B		
備考	ノンステップバス				
本津幡駅-B	18:40				
庄本町通り-B	18:42				
庄町商店街-B	18:42				
パピィ・１通り-B	18:43				
津幡中央-B	18:44				
新津幡-B	-				
横浜	-				
北中条	-				
中条	-				
潟端	-				
太田	-				
太田南口-B	-				
利屋町（旧道）	-				
岸川（旧道）-B	-				
二日市	-				
今町（旧道）-B	-				
森本大橋	-				
森本市民センター前-B	-				
北中条-B	18:45				
津幡駅前-B	18:47				
新太田-B	18:49				
利屋町（新道）	18:50				
岸川（新道）	18:51				
八幡-B	18:52				
今町（新道）	18:53				
観法寺-B	18:55				
南森本-B	18:56				
森本駅前-B	18:58				
百坂-B	19:00				
法光寺-B	19:01				
柳橋（森本から）	19:02				
柳橋（始発）	-	21:35	22:10		
神谷内-B	19:03	21:36	22:11		
小坂中-B	19:05	21:37	22:12		
小坂-B	19:06	21:38	22:13		
鳴和-B	19:07	21:39	22:14		
春日町（山の上方向）	19:08	21:40	22:15		
山の上（彦三方向）	19:09	21:41	22:16		
森山二丁目（彦三方向）	19:10	21:42	22:17		
小橋町-B	19:11	21:43	22:18		
瓢箪町-B	19:12	21:44	22:19		
彦三-B	19:13	21:45	22:20		
武蔵ヶ辻（近江町市場前）	-	21:47	22:22		
武蔵ヶ辻（三井住友銀行前）	19:15	-	-		
南町-A	19:16	21:48	22:23		
香林坊（アトリオ前）	-	21:50	22:25		
香林坊（中央公園前）	19:18	-	-		
広坂（しいのき迎賓館前）	19:20	-	-		
兼六園下（北鉄車庫前）	19:29	-	-		
片町（パシオン前）		21:52	22:27		
広小路（有松方向）		21:54	22:29		
野町駅-B		22:00	22:35		
