始発停留所	本津幡駅-B	柳橋（始発）	本津幡駅-B	本津幡駅-B	本津幡駅-B	本津幡駅-B	本津幡駅-B	本津幡駅-B	本津幡駅-B	本津幡駅-B	本津幡駅-B	柳橋（始発）	柳橋（始発）		
始発時間	06:55	07:05	07:35	08:05	09:15	10:20	11:35	12:40	15:40	17:10	18:40	21:35	22:10		
終点時間	07:52	07:30	08:32	08:59	10:09	11:14	12:32	13:34	16:34	18:07	19:29	22:00	22:35		
終点停留所	兼六園下（北鉄車庫前）	野町駅-B	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	野町駅-B	野町駅-B		
備考			ノンステップバス			ノンステップバス				ノンステップバス	ノンステップバス				
本津幡駅-B	06:55		07:35	08:05	09:15	10:20	11:35	12:40	15:40	17:10	18:40				
庄本町通り-B	06:57		07:37	08:07	09:17	10:22	11:37	12:42	15:42	17:12	18:42				
庄町商店街-B	06:57		07:37	08:07	09:17	10:22	11:37	12:42	15:42	17:12	18:42				
パピィ・１通り-B	06:58		07:38	08:08	09:18	10:23	11:38	12:43	15:43	17:13	18:43				
津幡中央-B	06:59		07:39	08:09	09:19	10:24	11:39	12:44	15:44	17:14	18:44				
新津幡-B	07:00		07:40	-	-	-	11:40	-	-	17:15	-				
横浜	07:01		07:41	-	-	-	11:41	-	-	17:16	-				
北中条	07:02		07:42	-	-	-	11:42	-	-	17:17	-				
中条	07:03		07:43	-	-	-	11:43	-	-	17:18	-				
潟端	07:04		07:44	-	-	-	11:44	-	-	17:19	-				
太田	07:05		07:45	-	-	-	11:45	-	-	17:20	-				
太田南口-B	07:06		07:46	-	-	-	11:46	-	-	17:21	-				
利屋町（旧道）	07:08		07:48	-	-	-	11:48	-	-	17:23	-				
岸川（旧道）-B	07:09		07:49	-	-	-	11:49	-	-	17:24	-				
二日市	07:11		07:51	-	-	-	11:51	-	-	17:26	-				
今町（旧道）-B	07:12		07:52	-	-	-	11:52	-	-	17:27	-				
森本大橋	07:15		07:55	-	-	-	11:55	-	-	17:30	-				
森本市民センター前-B	07:16		07:56	-	-	-	11:56	-	-	17:31	-				
北中条-B	-		-	08:10	09:20	10:25	-	12:45	15:45	-	18:45				
津幡駅前-B	-		-	08:12	09:22	10:27	-	12:47	15:47	-	18:47				
新太田-B	-		-	08:14	09:24	10:29	-	12:49	15:49	-	18:49				
利屋町（新道）	-		-	08:15	09:25	10:30	-	12:50	15:50	-	18:50				
岸川（新道）	-		-	08:16	09:26	10:31	-	12:51	15:51	-	18:51				
八幡-B	-		-	08:17	09:27	10:32	-	12:52	15:52	-	18:52				
今町（新道）	-		-	08:18	09:28	10:33	-	12:53	15:53	-	18:53				
観法寺-B	-		-	08:20	09:30	10:35	-	12:55	15:55	-	18:55				
南森本-B	-		-	08:21	09:31	10:36	-	12:56	15:56	-	18:56				
森本駅前-B	07:19		07:59	08:23	09:33	10:38	11:59	12:58	15:58	17:34	18:58				
百坂-B	07:21		08:01	08:25	09:35	10:40	12:01	13:00	16:00	17:36	19:00				
法光寺-B	07:22		08:02	08:26	09:36	10:41	12:02	13:01	16:01	17:37	19:01				
柳橋（森本から）	07:23		08:03	08:27	09:37	10:42	12:03	13:02	16:02	17:38	19:02				
柳橋（始発）	-	07:05	-	-	-	-	-	-	-	-	-	21:35	22:10		
神谷内-B	07:24	07:06	08:04	08:28	09:38	10:43	12:04	13:03	16:03	17:39	19:03	21:36	22:11		
小坂中-B	07:26	07:07	08:06	08:30	09:40	10:45	12:06	13:05	16:05	17:41	19:05	21:37	22:12		
小坂-B	07:27	07:08	08:07	08:31	09:41	10:46	12:07	13:06	16:06	17:42	19:06	21:38	22:13		
鳴和-B	07:28	07:09	08:08	08:32	09:42	10:47	12:08	13:07	16:07	17:43	19:07	21:39	22:14		
春日町（山の上方向）	07:30	07:10	08:10	08:34	09:44	10:49	12:10	13:09	16:09	17:45	19:08	21:40	22:15		
山の上（彦三方向）	07:31	07:11	08:11	08:35	09:45	10:50	12:11	13:10	16:10	17:46	19:09	21:41	22:16		
