始発停留所	加賀温泉駅【２】				
始発時間	20:15				
終点時間	20:44				
終点停留所	山中温泉-C				
備考					
加賀温泉駅【２】	20:15				
加賀市農協前-A	20:18				
加茂-A	20:19				
七ツ堀-A	20:21				
文化会館前-A	20:22				
山代温泉口-A	20:23				
市の瀬神社前-A	20:24				
山代東口（１）	20:26				
山代温泉-A	20:27				
幸町-C	20:28				
山代西口-A	20:29				
山代温泉南口-A	20:30				
河南-A	20:32				
淀町-A	20:33				
二天-A	20:34				
中田-A	20:35				
長谷田-A	20:36				
旭町-A	20:37				
上原-A	20:38				
山代小学校前-C	-				
漆器団地-A	-				
別所町-A	-				
見晴台-A	-				
上原町-A	-				
塚谷-C	-				
塚谷-A	20:39				
桂木町-A	20:40				
緑ケ丘-A	-				
医療センター	-				
西桂木町-A	-				
山中温泉-C	20:44				
山中本町					
菊の湯前-A					
山中温泉支所前					
こおろぎ橋					
こおろぎ町-A					
こおろぎ町-B					
ゆーゆー館前-A					
高瀬大橋					
栄松					
もみじ谷-A					
日和台					
菅谷					
菅谷小学校前					
栢野					
