始発停留所	菊の湯前-B				
始発時間	09:20				
終点時間	11:00				
終点停留所	金沢駅【降車場】				
備考					
菊の湯前-B	09:20				
山中温泉-B	09:23				
山代西口-B	09:32				
山代温泉-B	09:33				
山代東口（２）	09:34				
片山津温泉-A	-				
片山津５区	-				
那谷寺-B	09:43				
馬場-B	09:45				
粟津温泉-B	09:47				
粟津温泉北口-B	09:48				
八幡温泉口-B	09:58				
西軽海-B	10:01				
辰口温泉口	10:09				
南部車庫（加賀産市内方向）	10:21				
大額二丁目-B	10:27				
有松（寺地から）	10:37				
広小路（有松から）	10:41				
片町	10:43				
香林坊（日銀前）	10:46				
兼六園下（白鳥路前）	10:49				
武蔵ヶ辻（ホリデイ・イン金沢前）	10:54				
金沢駅【降車場】	11:00				
金沢駅西口降車					
武蔵ヶ辻（近江町市場前）					
香林坊（日銀前）					
広坂（しいのき迎賓館前）					
兼六園下（北鉄車庫前）					
