始発停留所	兼六園下（石川門）	金沢駅【１】			
始発時間	13:47	15:00			
終点時間	15:12	16:40			
終点停留所	菊の湯前-A	菊の湯前-A			
備考	祝日運休				
兼六園下（石川門）					
広坂（金沢２１世紀美術館前）					
香林坊（日銀前）					
武蔵ヶ辻（エムザ前）					
金沢駅【１】		15:00			
武蔵ヶ辻（横安江町）		15:04			
兼六園下（石川門）	13:47	15:09			
香林坊（アトリオ前）	-	15:12			
片町（パシオン前）	-	15:15			
広小路（有松方向）	-	15:17			
有松（寺地方向）	-	15:21			
大額二丁目-A	-	15:31			
南部車庫（加賀産郊外方向）	-	15:39			
辰口温泉口	-	15:50			
西軽海-A	-	15:58			
八幡温泉口-A	-	16:01			
粟津温泉北口-A	-	16:11			
粟津温泉-A	-	16:12			
馬場-A	-	16:14			
那谷寺-A	-	16:16			
片山津５区	14:42	-			
片山津温泉-A	14:44	-			
山代東口（１）	14:57	16:25			
山代温泉-A	14:58	16:26			
山代西口-A	15:00	16:27			
山中温泉-C	15:09	16:37			
菊の湯前-A	15:12	16:40			
