始発停留所	湯涌温泉	湯涌温泉	湯涌温泉	湯涌温泉	湯涌温泉	湯涌温泉	湯涌温泉	北陸大学薬学部-B	湯涌温泉	湯涌温泉	湯涌温泉	北陸大学薬学部-B	湯涌温泉	湯涌温泉	北陸大学薬学部-B	湯涌温泉	湯涌温泉	湯涌温泉		
始発時間	06:52	07:32	08:17	09:12	10:02	11:00	12:05	12:54	13:00	14:00	15:03	15:15	15:50	17:03	17:15	17:50	19:12	20:22		
終点時間	07:39	08:19	09:04	10:01	10:51	11:48	12:59	13:38	13:49	14:54	15:51	15:59	16:43	17:51	17:59	18:43	20:05	21:09		
終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】		
備考																				
湯涌温泉	06:52	07:32	08:17	09:12	10:02	11:00	12:05		13:00	14:00	15:03		15:50	17:03		17:50	19:12	20:22		
芝原	06:53	07:33	08:18	09:13	10:03	11:01	12:06		13:01	14:01	15:04		15:51	17:04		17:51	19:13	20:23		
創作の森前-B	06:55	07:35	08:20	09:15	10:05	11:03	12:08		13:03	14:03	15:06		15:53	17:06		17:53	19:15	20:25		
北袋-B	06:56	07:36	08:21	09:16	10:06	11:04	12:09		13:04	14:04	15:07		15:54	17:07		17:54	19:16	20:26		
市の瀬	06:58	07:38	08:23	09:18	10:08	11:06	12:11		13:06	14:06	15:09		15:56	17:09		17:56	19:18	20:28		
朝ケ屋	06:59	07:39	08:24	09:19	10:09	11:07	12:12		13:07	14:07	15:10		15:57	17:10		17:57	19:19	20:29		
東荒屋	07:00	07:40	08:25	09:20	10:10	11:08	12:13		13:08	14:08	15:11		15:58	17:11		17:58	19:20	20:30		
茅原-B	07:01	07:41	08:26	09:21	10:11	11:09	12:14		13:09	14:09	15:12		15:59	17:12		17:59	19:21	20:31		
袋-B	07:03	07:43	08:28	09:23	10:13	11:11	12:16		13:11	14:11	15:14		16:01	17:14		18:01	19:23	20:33		
中村（ストア前）	07:04	07:44	08:29	09:24	10:14	11:12	12:17		13:12	14:12	15:15		16:02	17:15		18:02	19:24	20:34		
北陸大学松雲会館前（薬学部方向）	-	-	-	-	-	-	-		-	-	-		-	-		-	-	-		
北陸大学薬学部-B	-	-	-	-	-	-	-	12:54	-	-	-	15:15	-	-	17:15	-	-	-		
北陸大学松雲会館前（市内方向）	-	-	-	-	-	-	-	12:57	-	-	-	15:18	-	-	17:18	-	-	-		
中村（北大薬学部から）	-	-	-	-	-	-	-	12:58	-	-	-	15:19	-	-	17:19	-	-	-		
北大太陽が丘-B	-	-	-	-	-	-	12:21	13:02	-	14:16	-	15:23	16:06	-	17:23	18:06	19:28	-		
銚子口	07:05	07:45	08:30	09:25	10:15	11:13	12:23	13:04	13:13	14:18	15:16	15:25	16:08	17:16	17:25	18:08	19:30	20:35		
舘町-B	07:06	07:46	08:31	09:26	10:16	11:14	12:24	13:05	13:14	14:19	15:17	15:26	16:09	17:17	17:26	18:09	19:31	20:36		
田上口-B	07:07	07:47	08:32	09:27	10:17	11:15	12:25	13:06	13:15	14:20	15:18	15:27	16:10	17:18	17:27	18:10	19:32	20:37		
土清水口-B	07:09	07:49	08:34	09:29	10:19	11:17	12:27	13:08	13:17	14:22	15:20	15:29	16:12	17:20	17:29	18:12	19:34	20:39		
錦町（Ｋマート）	07:11	07:51	08:36	09:31	10:21	11:19	12:29	13:10	13:19	14:24	15:22	15:31	16:14	17:22	17:31	18:14	19:36	20:41		
