始発停留所	湯涌温泉	湯涌温泉	湯涌温泉	湯涌温泉	北陸大学薬学部-B	北大太陽が丘-B	湯涌温泉	北陸大学薬学部-B	湯涌温泉	北陸大学薬学部-B	湯涌温泉	湯涌温泉	湯涌温泉	北陸大学薬学部-B	湯涌温泉	北陸大学薬学部-B	湯涌温泉	北大太陽が丘-B	北陸大学薬学部-B	北陸大学薬学部-B	湯涌温泉	湯涌温泉	北陸大学薬学部-B	北大太陽が丘-B	北大太陽が丘-B	湯涌温泉	北大太陽が丘-B	北陸大学薬学部-B	湯涌温泉	湯涌温泉	北陸大学薬学部-B	湯涌温泉	湯涌温泉	湯涌温泉	湯涌温泉
始発時間	06:52	07:12	07:43	08:42	09:00	09:25	09:52	10:10	10:45	11:25	11:55	11:55	12:50	13:20	13:55	14:40	15:00	15:15	15:25	15:43	15:57	15:57	16:20	16:55	17:05	17:08	17:20	17:40	18:12	18:12	18:50	19:07	19:45	19:45	20:40
終点時間	07:42	08:02	08:35	09:34	09:38	10:00	10:41	10:48	11:39	12:09	12:49	12:43	13:39	13:51	14:43	15:24	15:55	15:50	16:01	16:19	16:51	16:45	17:04	17:30	17:40	18:05	17:55	18:24	19:04	19:11	19:26	20:00	20:32	20:44	21:33
終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	兼六園下（北鉄車庫前）	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	香林坊（日銀前）	香林坊（日銀前）	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	香林坊（日銀前）	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】
備考					学期休み期間、運休					学期休み期間、運休	学期休み期間、運休	学期休み期間のみ運行		学期休み期間、運休				学期休み期間、運休	学期休み期間、運休		学期休み期間、運休	学期休み期間のみ運行							学期休み期間のみ運行	学期休み期間、運休		ノンステップバス	学期休み期間のみ運行	学期休み期間、運休	
湯涌温泉	06:52	07:12	07:43	08:42			09:52		10:45		11:55	11:55	12:50		13:55		15:00				15:57	15:57				17:08			18:12	18:12		19:07	19:45	19:45	20:40
芝原	06:53	07:13	07:44	08:43			09:53		10:46		11:56	11:56	12:51		13:56		15:01				15:58	15:58				17:09			18:13	18:13		19:08	19:46	19:46	20:41
創作の森前-B	06:55	07:15	07:46	08:45			09:55		10:48		11:58	11:58	12:53		13:58		15:03				16:00	16:00				17:11			18:15	18:15		19:10	19:48	19:48	20:43
北袋-B	06:56	07:16	07:47	08:46			09:56		10:49		11:59	11:59	12:54		13:59		15:04				16:01	16:01				17:12			18:16	18:16		19:11	19:49	19:49	20:44
市の瀬	06:58	07:18	07:49	08:48			09:58		10:51		12:01	12:01	12:56		14:01		15:06				16:03	16:03				17:14			18:18	18:18		19:13	19:51	19:51	20:46
朝ケ屋	06:59	07:19	07:50	08:49			09:59		10:52		12:02	12:02	12:57		14:02		15:07				16:04	16:04				17:15			18:19	18:19		19:14	19:52	19:52	20:47
