始発停留所	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	兼六園下（県駐車場前）	香林坊（中央公園前）	金沢駅【３】	兼六園下（県駐車場前）	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】				
始発時間	06:48	07:09	07:35	07:37	07:52	07:58	08:10	08:15	08:20	08:33	08:40	08:40	08:45	08:45	09:07	09:30	09:47	09:55	10:10	10:55	10:55	11:55	11:55	12:25	12:55	12:55	13:25	14:10	15:02	16:02	16:12	17:17	18:10	18:55	19:50	20:50				
終点時間	07:42	07:44	08:30	08:17	08:38	08:33	08:50	08:50	08:55	09:19	09:33	09:30	09:18	09:23	09:53	09:57	10:34	10:30	10:45	11:50	11:42	12:48	12:42	13:11	13:50	13:42	14:11	14:57	15:49	16:37	16:59	18:04	18:57	19:39	20:34	21:34				
終点停留所	湯涌温泉	北大太陽が丘-B	湯涌温泉	北陸大学薬学部（降車）	北陸大学薬学部（降車）	北大太陽が丘-B	北陸大学薬学部（降車）	北大太陽が丘-B	北大太陽が丘-B	北陸大学薬学部（降車）	湯涌温泉	湯涌温泉	北陸大学薬学部（降車）	北陸大学薬学部（降車）	北陸大学薬学部（降車）	北陸大学薬学部（降車）	湯涌温泉	北大太陽が丘-B	北大太陽が丘-B	湯涌温泉	湯涌温泉	湯涌温泉	湯涌温泉	北陸大学薬学部（降車）	湯涌温泉	湯涌温泉	北陸大学薬学部（降車）	湯涌温泉	湯涌温泉	北大太陽が丘-B	湯涌温泉	湯涌温泉	湯涌温泉	湯涌温泉	湯涌温泉	湯涌温泉				
備考											学期休み期間、運休	学期休み期間のみ運行	学期休み期間、運休					学期休み期間、運休		学期休み期間、運休	学期休み期間のみ運行	学期休み期間、運休	学期休み期間のみ運行	学期休み期間、運休	学期休み期間、運休	学期休み期間のみ運行				学期休み期間、運休			ノンステップバス							
香林坊（中央公園前）														08:45																										
広坂（しいのき迎賓館前）														08:46																										
金沢駅【３】	06:48	07:09	07:35	07:37	07:52	07:58	08:10	08:15	08:20	08:33	08:40	08:40		-	09:07		09:47	09:55	10:10	10:55	10:55	11:55	11:55	12:25	12:55	12:55	13:25	14:10	15:02	16:02	16:12	17:17	18:10	18:55	19:50	20:50				
リファーレ前-A	06:50	07:11	07:37	07:39	07:54	08:00	08:12	08:17	08:22	08:35	08:42	08:42		-	09:09		09:49	09:57	10:12	10:57	10:57	11:57	11:57	12:27	12:57	12:57	13:27	14:12	15:04	16:04	16:14	17:19	18:12	18:57	19:52	20:52				
武蔵ヶ辻（横安江町）	06:52	07:13	07:39	07:41	07:56	08:02	08:14	08:19	08:24	08:37	08:44	08:44		-	09:11		09:51	09:59	10:14	10:59	10:59	11:59	11:59	12:29	12:59	12:59	13:29	14:14	15:06	16:06	16:16	17:21	18:14	18:59	19:54	20:54				
武蔵ヶ辻（旧ダイエー前）	06:52	07:13	07:39	07:41	07:56	08:02	08:14	08:19	08:24	08:37	08:44	08:44		-	09:11		09:51	09:59	10:14	10:59	10:59	11:59	11:59	12:29	12:59	12:59	13:29	14:14	15:06	16:06	16:16	17:21	18:14	18:59	19:54	20:54				
尾張町-A	06:54	07:15	07:41	07:43	07:58	08:04	08:16	08:21	08:26	08:39	08:46	08:46		-	09:13		09:53	10:01	10:16	11:01	11:01	12:01	12:01	12:31	13:01	13:01	13:31	14:16	15:08	16:08	16:18	17:23	18:16	19:01	19:56	20:56				
橋場町（金城楼前）	06:55	07:16	07:42	07:44	07:59	08:05	08:17	08:22	08:27	08:40	08:47	08:47		-	09:14		09:54	10:02	10:17	11:02	11:02	12:02	12:02	12:32	13:02	13:02	13:32	14:17	15:09	16:09	16:19	17:24	18:17	19:02	19:57	20:57				
兼六園下（県駐車場前）	06:57	07:18	07:44	07:46	08:01	08:07	08:19	08:24	08:29	08:42	08:49	08:49	08:45	08:48	09:16	09:30	09:56	10:04	10:19	11:04	11:04	12:04	12:04	12:34	13:04	13:04	13:34	14:19	15:11	16:11	16:21	17:26	18:19	19:04	19:59	20:59				
出羽町-A	07:00	07:21	07:47	07:49	08:04	08:10	08:22	08:27	08:32	08:45	08:52	08:52	08:47	08:51	09:19	09:32	09:59	10:07	10:22	11:07	11:07	12:07	12:07	12:37	13:07	13:07	13:37	14:22	15:14	16:14	16:24	17:29	18:22	19:06	20:01	21:01				
石引町-A	07:01	07:22	07:48	07:50	08:05	08:11	08:23	08:28	08:33	08:46	08:53	08:53	08:48	08:52	09:20	09:33	10:00	10:08	10:23	11:08	11:08	12:08	12:08	12:38	13:08	13:08	13:38	14:23	15:15	16:15	16:25	17:30	18:23	19:07	20:02	21:02				
小立野-A	07:02	07:23	07:49	07:51	08:06	08:12	08:24	08:29	08:34	08:47	08:54	08:54	08:49	08:53	09:21	09:34	10:01	10:09	10:24	11:09	11:09	12:09	12:09	12:39	13:09	13:09	13:39	14:24	15:16	16:16	16:26	17:31	18:24	19:08	20:03	21:03				
天徳院前-A	07:03	07:24	07:51	07:52	08:07	08:13	08:25	08:30	08:35	08:48	08:55	08:55	08:50	08:54	09:22	09:35	10:02	10:10	10:25	11:11	11:10	12:10	12:10	12:40	13:11	13:10	13:40	14:25	15:17	16:17	16:27	17:32	18:25	19:09	20:04	21:04				
小立野三丁目-A	07:04	07:25	07:52	07:53	08:08	08:14	08:26	08:31	08:36	08:49	08:56	08:56	08:51	08:55	09:23	09:36	10:03	10:11	10:26	11:12	11:11	12:11	12:11	12:41	13:12	13:11	13:41	14:26	15:18	16:18	16:28	17:33	18:26	19:10	20:05	21:05				
崎浦公民館-A	07:05	07:26	07:53	07:54	08:09	08:15	08:27	08:32	08:37	08:50	08:57	08:57	08:52	08:56	09:24	09:37	10:04	10:12	10:27	11:13	11:12	12:12	12:12	12:42	13:13	13:12	13:42	14:27	15:19	16:19	16:29	17:34	18:27	19:11	20:06	21:06				
小立野一丁目-A	07:06	07:27	07:54	07:55	08:10	08:16	08:28	08:33	08:38	08:51	08:58	08:58	08:53	08:57	09:25	09:38	10:05	10:13	10:28	11:14	11:13	12:13	12:13	12:43	13:14	13:13	13:43	14:28	15:20	16:20	16:30	17:35	18:28	19:12	20:07	21:07				
錦町（湯涌）	07:07	07:28	07:55	07:56	08:11	08:17	08:29	08:34	08:39	08:52	08:59	08:59	08:54	08:58	09:26	09:39	10:06	10:14	10:29	11:15	11:14	12:14	12:14	12:44	13:15	13:14	13:44	14:29	15:21	16:21	16:31	17:36	18:29	19:13	20:08	21:08				
土清水口-A	07:09	07:30	07:57	07:58	08:13	08:19	08:31	08:36	08:41	08:54	09:01	09:01	08:56	09:00	09:28	09:41	10:08	10:16	10:31	11:17	11:16	12:16	12:16	12:46	13:17	13:16	13:46	14:31	15:23	16:23	16:33	17:38	18:31	19:15	20:10	21:10				
田上口-A	07:11	07:32	07:59	08:00	08:15	08:21	08:33	08:38	08:43	08:56	09:03	09:03	08:58	09:02	09:30	09:43	10:10	10:18	10:33	11:19	11:18	12:18	12:18	12:48	13:19	13:18	13:48	14:33	15:25	16:25	16:35	17:40	18:33	19:17	20:12	21:12				
舘町-A	07:12	07:33	08:00	08:01	08:16	08:22	08:34	08:39	08:44	08:57	09:04	09:04	08:59	09:03	09:31	09:44	10:11	10:19	10:34	11:20	11:19	12:19	12:19	12:49	13:20	13:19	13:49	14:34	15:26	16:26	16:36	17:41	18:34	19:18	20:13	21:13				
銚子口	07:13	07:34	08:01	08:02	08:17	08:23	08:35	08:40	08:45	08:58	09:05	09:05	09:00	09:04	09:32	09:45	10:12	10:20	10:35	11:21	11:20	12:20	12:20	12:50	13:21	13:20	13:50	14:35	15:27	16:27	16:37	17:42	18:35	19:19	20:14	21:14				
北大太陽が丘-B	07:16	07:44	08:04	-	08:20	08:33	-	08:50	08:55	09:01	09:08	-	09:03	09:07	09:35	-	-	10:30	10:45	11:24	-	12:23	-	12:53	13:24	-	13:53	-	-	16:37	-	-	-	-	-	-				
中村（ストア前）	07:19		08:07	-	-		-			-	09:11	09:06	-	-	-	-	10:13			11:27	11:21	12:26	12:21	-	13:27	13:21	-	14:36	15:28		16:38	17:43	18:36	19:20	20:15	21:15				
中村（北大薬学部方向）	-		-	08:03	08:23		08:36			09:04	-	-	09:06	09:10	09:38	09:46	-			-	-	-	-	12:56	-	-	13:56	-	-		-	-	-	-	-	-				
北陸大学松雲会館前（薬学部方向）	-		-	08:04	08:24		08:37			09:05	-	-	09:07	09:11	09:39	09:47	-			-	-	-	-	12:57	-	-	13:57	-	-		-	-	-	-	-	-				
北陸大学薬学部（降車）	-		-	08:17	08:38		08:50			09:19	-	-	09:18	09:23	09:53	09:57	-			-	-	-	-	13:11	-	-	14:11	-	-		-	-	-	-	-	-				
袋-A	07:20		08:08								09:12	09:07					10:14			11:28	11:22	12:27	12:22		13:28	13:22		14:37	15:29		16:39	17:44	18:37	19:21	20:16	21:16				
茅原-A	07:21		08:10								09:14	09:09					10:16			11:30	11:24	12:29	12:24		13:30	13:24		14:39	15:31		16:41	17:46	18:39	19:23	20:18	21:18				
東荒屋	07:22		08:11								09:15	09:10					10:17			11:31	11:25	12:30	12:25		13:31	13:25		14:40	15:32		16:42	17:47	18:40	19:24	20:19	21:19				
