始発停留所	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	
始発時間	07:20	08:10	09:10	09:55	11:10	11:55	12:55	14:10	14:55	16:10	16:55	18:15	19:30	20:43	
終点時間	08:04	08:55	09:57	10:42	11:57	12:42	13:42	14:57	15:42	16:57	17:42	18:59	20:14	21:27	
終点停留所	湯涌温泉	湯涌温泉	湯涌温泉	湯涌温泉	湯涌温泉	湯涌温泉	湯涌温泉	湯涌温泉	湯涌温泉	湯涌温泉	湯涌温泉	湯涌温泉	湯涌温泉	湯涌温泉	
備考															
香林坊（中央公園前）															
広坂（しいのき迎賓館前）															
金沢駅【３】	07:20	08:10	09:10	09:55	11:10	11:55	12:55	14:10	14:55	16:10	16:55	18:15	19:30	20:43	
リファーレ前-A	07:22	08:12	09:12	09:57	11:12	11:57	12:57	14:12	14:57	16:12	16:57	18:17	19:32	20:45	
武蔵ヶ辻（北陸銀行前）	07:24	08:14	09:14	09:59	11:14	11:59	12:59	14:14	14:59	16:14	16:59	18:19	19:34	20:47	
武蔵ヶ辻（かなざわはこまち前）	07:24	08:14	09:14	09:59	11:14	11:59	12:59	14:14	14:59	16:14	16:59	18:19	19:34	20:47	
尾張町-A	07:26	08:16	09:16	10:01	11:16	12:01	13:01	14:16	15:01	16:16	17:01	18:21	19:36	20:49	
橋場町（金城楼前）	07:27	08:17	09:17	10:02	11:17	12:02	13:02	14:17	15:02	16:17	17:02	18:22	19:37	20:50	
兼六園下（県駐車場前）	07:29	08:19	09:19	10:04	11:19	12:04	13:04	14:19	15:04	16:19	17:04	18:24	19:39	20:52	
出羽町-A	07:31	08:21	09:22	10:07	11:22	12:07	13:07	14:22	15:07	16:22	17:07	18:26	19:41	20:54	
石引町-A	07:32	08:22	09:23	10:08	11:23	12:08	13:08	14:23	15:08	16:23	17:08	18:27	19:42	20:55	
小立野-A	07:33	08:23	09:24	10:09	11:24	12:09	13:09	14:24	15:09	16:24	17:09	18:28	19:43	20:56	
天徳院前-A	07:34	08:24	09:25	10:10	11:25	12:10	13:10	14:25	15:10	16:25	17:10	18:29	19:44	20:57	
小立野三丁目-A	07:35	08:25	09:26	10:11	11:26	12:11	13:11	14:26	15:11	16:26	17:11	18:30	19:45	20:58	
崎浦公民館-A	07:36	08:26	09:27	10:12	11:27	12:12	13:12	14:27	15:12	16:27	17:12	18:31	19:46	20:59	
小立野一丁目-A	07:37	08:27	09:28	10:13	11:28	12:13	13:13	14:28	15:13	16:28	17:13	18:32	19:47	21:00	
錦町（湯涌）	07:38	08:28	09:29	10:14	11:29	12:14	13:14	14:29	15:14	16:29	17:14	18:33	19:48	21:01	
土清水口-A	07:40	08:30	09:31	10:16	11:31	12:16	13:16	14:31	15:16	16:31	17:16	18:35	19:50	21:03	
田上口-A	07:42	08:32	09:33	10:18	11:33	12:18	13:18	14:33	15:18	16:33	17:18	18:37	19:52	21:05	
舘町-A	07:43	08:33	09:34	10:19	11:34	12:19	13:19	14:34	15:19	16:34	17:19	18:38	19:53	21:06	
銚子口	07:44	08:34	09:35	10:20	11:35	12:20	13:20	14:35	15:20	16:35	17:20	18:39	19:54	21:07	
北大太陽が丘-B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
中村（ストア前）	07:45	08:35	09:36	10:21	11:36	12:21	13:21	14:36	15:21	16:36	17:21	18:40	19:55	21:08	
中村（北大薬学部方向）	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
北陸大学松雲会館前（薬学部方向）	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
北陸大学薬学部（降車）	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
袋-A	07:46	08:36	09:37	10:22	11:37	12:22	13:22	14:37	15:22	16:37	17:22	18:41	19:56	21:09	
茅原-A	07:48	08:38	09:39	10:24	11:39	12:24	13:24	14:39	15:24	16:39	17:24	18:43	19:58	21:11	
東荒屋	07:49	08:39	09:40	10:25	11:40	12:25	13:25	14:40	15:25	16:40	17:25	18:44	19:59	21:12	
朝ケ屋	07:51	08:41	09:42	10:27	11:42	12:27	13:27	14:42	15:27	16:42	17:27	18:46	20:01	21:14	
市の瀬	07:53	08:43	09:44	10:29	11:44	12:29	13:29	14:44	15:29	16:44	17:29	18:48	20:03	21:16	
北袋-A	07:55	08:45	09:46	10:31	11:46	12:31	13:31	14:46	15:31	16:46	17:31	18:50	20:05	21:18	
創作の森前-A	07:56	08:46	09:47	10:32	11:47	12:32	13:32	14:47	15:32	16:47	17:32	18:51	20:06	21:19	
芝原	07:57	08:47	09:48	10:33	11:48	12:33	13:33	14:48	15:33	16:48	17:33	18:52	20:07	21:20	
湯涌温泉	08:04	08:55	09:57	10:42	11:57	12:42	13:42	14:57	15:42	16:57	17:42	18:59	20:14	21:27	
